"X","Y","k","annual_precip","clay","h20cap_pf2_0","h20cap_pf2_3","h20cap_pf2_5","land_cover","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","tree_cover","valley_depth","wet_index"
34.5880699526246,1.13603505185357,402,1618.56066894531,0,0,0,0,30,3913,140,57,0,0,17.5462207794189,14,647,39,-667,75
34.5859866192946,1.13395171852357,404,1573.68542480469,20,22,22,22,30,3841,139,57,47,34,17.4913291931152,23,-43,54,-1001,74
34.5797366193046,1.13186838519357,407,1469.51123046875,0,0,0,0,120,3714,153,57,0,0,17.539363861084,18,-572,53,505,78
34.5964032859446,1.12770171853357,409,1691.86999511719,20,21,21,21,30,3984,121,57,47,34,17.4548072814941,20,384,55,-3432,69
34.6026532859346,1.11728505188357,443,1810.88464355469,19,21,21,21,90,3912,130,56,48,33,17.3739757537842,14,-49,56,-5029,71
34.5901532859546,1.11311838522357,429,1672.49523925781,18,22,22,22,30,4053,138,57,48,34,17.3639030456543,8,276,36,-3757,68
34.5880699526246,1.11103505189357,416,1672.49523925781,18,22,22,22,30,4053,138,57,48,34,17.3639030456543,8,276,36,-3757,68
34.5922366192846,1.11103505189357,426,1672.49523925781,18,22,22,22,30,4053,138,57,48,34,17.3639030456543,8,276,36,-3757,68
34.6047366192646,1.11103505189357,441,1810.88464355469,19,21,21,21,90,3912,130,56,48,33,17.3739757537842,14,-49,56,-5029,71
34.5943199526146,1.10895171856357,448,1801.77294921875,18,22,22,22,30,4015,126,56,49,34,17.3401031494141,21,282,47,-4332,67
34.5818199526346,1.10478505190357,392,1694.96801757812,18,22,22,22,30,4166,115,60,49,33,17.3265647888184,14,615,15,-3767,83
34.6109866192546,1.10478505190357,362,1847.59399414062,18,22,22,22,30,3753,92,62,48,33,17.4790077209473,18,-72,38,-4325,73
34.5422366193646,1.10270171857357,470,1711.05322265625,18,22,22,22,10,4175,63,60,48,34,17.2615146636963,14,415,24,-1251,72
34.5484866193546,1.10270171857357,465,1691.73388671875,0,0,0,0,110,4167,67,60,0,0,17.2793617248535,18,317,27,-1270,75
34.5359866193746,1.10061838524357,435,1647.03857421875,19,21,21,21,30,4046,65,59,48,33,17.267635345459,18,68,17,60,75
34.5630699526646,1.10061838524357,445,1742.11865234375,18,22,22,22,30,4129,59,59,49,34,17.2752590179443,19,421,20,-1887,69
34.5401532860346,1.09853505191357,458,1647.03857421875,19,21,21,21,30,4046,65,59,48,33,17.267635345459,18,68,17,60,75
34.5505699526846,1.09853505191357,498,1700.4482421875,18,21,21,21,30,4159,66,60,48,34,17.2602291107178,16,427,19,-739,72
34.5734866193146,1.09853505191357,388,1755.97473144531,17,22,22,22,30,4219,86,60,49,34,17.2879867553711,18,830,15,-1269,69
34.6234866192346,1.09853505191357,380,1883.62915039062,20,20,20,20,120,3608,106,61,48,32,17.5583324432373,16,102,37,-3707,75
34.5339032860446,1.09645171858357,469,1588.50354003906,20,21,21,21,30,4052,90,60,47,33,17.2910499572754,28,17,20,2086,74
34.5693199526546,1.09645171858357,462,1755.97473144531,17,22,22,22,30,4219,86,60,49,34,17.2879867553711,18,830,15,-1269,69
34.5943199526146,1.09645171858357,425,1823.12109375,18,21,21,21,120,3888,105,61,49,33,17.3570079803467,24,-174,26,-2896,70
34.6109866192546,1.09645171858357,463,1862.29565429688,19,21,21,21,180,3743,79,62,48,33,17.5114059448242,11,15,21,-3691,72
34.5255699527246,1.09436838525357,477,1527.48132324219,20,21,21,21,180,3904,64,61,47,33,17.2812576293945,14,-311,14,2278,74
34.5776532859746,1.09436838525357,431,1777.20642089844,17,22,22,22,30,4090,64,60,49,34,17.2961101531982,19,345,21,-2361,66
34.6214032859046,1.09436838525357,401,1883.62915039062,20,20,20,20,120,3608,106,61,48,32,17.5583324432373,16,102,37,-3707,75
34.5193199527346,1.09228505192357,494,1459.88598632812,23,20,20,20,30,3921,61,59,45,32,17.3468589782715,16,86,8,2799,78
34.5234866193946,1.09228505192357,487,1459.88598632812,23,20,20,20,30,3921,61,59,45,32,17.3468589782715,16,86,8,2799,78
34.5276532860546,1.09228505192357,476,1506.11853027344,22,20,20,20,30,3986,50,59,47,32,17.3125877380371,21,359,17,1361,72
34.5672366193246,1.09228505192357,453,1762.15881347656,19,22,22,22,120,3992,52,60,48,33,17.2794914245605,11,-103,15,544,70
34.5859866192946,1.09228505192357,450,1823.7626953125,18,22,22,22,120,3874,66,60,49,33,17.3548336029053,27,-243,18,-1429,71
34.5776532859746,1.09020171859357,444,1807.57116699219,19,21,21,21,180,4043,58,61,48,33,17.3042984008789,27,311,14,-1144,69
34.5630699526646,1.08811838526357,497,1762.15881347656,19,22,22,22,120,3992,52,60,48,33,17.2794914245605,11,-103,15,544,70
34.6214032859046,1.08811838526357,402,1900.50012207031,20,20,20,20,180,3526,93,62,48,32,17.5655117034912,23,69,27,-3291,72
34.6234866192346,1.08811838526357,402,1900.50012207031,20,20,20,20,180,3526,93,62,48,32,17.5655117034912,23,69,27,-3291,72
34.6380699525446,1.08811838526357,344,1929.56970214844,24,19,19,19,30,3247,41,61,44,33,17.601261138916,11,-512,29,-2662,79
34.6484866191946,1.08603505193357,341,1944.63024902344,24,19,19,19,30,3207,26,63,43,33,17.6102294921875,13,-343,21,-3277,80
34.5339032860446,1.08395171860357,471,1493.02905273438,24,20,20,20,30,3810,48,61,43,32,17.3714122772217,20,-195,13,3372,74
34.5901532859546,1.08395171860357,432,1840.54992675781,20,21,21,21,180,3849,57,62,46,34,17.4240283966064,17,177,14,-269,72
34.6047366192646,1.08395171860357,376,1876.66638183594,21,21,21,21,180,3643,85,62,45,34,17.5264072418213,14,-118,16,-1547,75
34.6130699525846,1.08395171860357,428,1897.45483398438,21,21,21,21,180,3610,85,62,46,34,17.5518398284912,15,124,18,-2718,73
34.6297366192246,1.08395171860357,387,1933.00756835938,22,19,19,19,30,3318,52,62,45,33,17.5900192260742,12,-282,29,-2486,74
34.5401532860346,1.07978505194357,511,1542.18395996094,24,20,20,20,120,3923,56,60,44,33,17.3626956939697,12,202,17,3187,76
34.5672366193246,1.07978505194357,479,1755.00268554688,22,21,21,21,180,3908,56,61,45,34,17.329948425293,15,42,7,2017,72
34.5943199526146,1.07978505194357,407,1858.05004882812,21,21,21,21,30,3757,73,63,45,34,17.4846000671387,12,-47,11,-1095,75
34.6130699525846,1.07978505194357,446,1897.45483398438,21,21,21,21,180,3610,85,62,46,34,17.5518398284912,15,124,18,-2718,73
34.6214032859046,1.07978505194357,446,1918.00048828125,20,20,20,20,180,3479,59,62,46,34,17.5715103149414,22,13,19,-2694,69
34.6297366192246,1.07978505194357,358,1933.00756835938,22,19,19,19,30,3318,52,62,45,33,17.5900192260742,12,-282,29,-2486,74
34.5568199526746,1.07770171861357,510,1696.84851074219,22,21,21,21,180,3966,55,60,45,33,17.31471824646,12,280,18,2103,70
34.5797366193046,1.07770171861357,422,1818.31213378906,20,21,21,21,120,3898,49,60,46,33,17.3579502105713,10,268,15,120,69
34.6339032858846,1.07770171861357,357,1933.00756835938,22,19,19,19,30,3318,52,62,45,33,17.5900192260742,12,-282,29,-2486,74
34.6401532858746,1.07561838528357,356,1953.70971679688,25,18,18,18,90,3207,32,64,41,34,17.6070289611816,15,-187,18,-2928,79
34.5839032859646,1.06936838529357,478,1824.34265136719,22,20,20,20,180,3755,52,62,44,34,17.4402656555176,23,4,18,1195,71
34.5922366192846,1.06936838529357,447,1856.85266113281,21,20,20,20,180,3784,49,62,44,35,17.4677352905273,11,349,17,-508,69
34.6214032859046,1.06936838529357,431,1933.83276367188,23,20,20,20,180,3423,47,63,42,35,17.5767440795898,11,-17,11,-2110,75
34.6234866192346,1.06936838529357,434,1933.83276367188,23,20,20,20,180,3423,47,63,42,35,17.5767440795898,11,-17,11,-2110,75
34.5339032860446,1.06728505196357,621,1547.46618652344,25,19,19,19,30,3648,56,60,42,33,17.4966640472412,10,52,8,3266,78
34.5818199526346,1.06728505196357,525,1825.16333007812,25,20,20,20,120,3581,69,63,42,33,17.5172367095947,20,-357,15,2099,76
34.6505699525246,1.06728505196357,366,1972.39343261719,26,18,18,18,180,3156,19,63,39,35,17.6160430908203,10,-270,47,-2746,83
34.5984866192746,1.06520171863357,460,1895.88781738281,22,20,20,20,180,3600,60,64,43,35,17.5419883728027,15,159,15,-111,71
34.6130699525846,1.06520171863357,453,1931.14611816406,25,19,19,19,180,3434,49,63,41,34,17.5684585571289,9,-76,24,-1034,77
34.6151532859146,1.06520171863357,449,1931.14611816406,25,19,19,19,180,3434,49,63,41,34,17.5684585571289,9,-76,24,-1034,77
