"annual_ppt","elevation","occ","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1573.68542480469,3841,139,23,17.4913291931152,54,74,34.5901532859546,1.13186838519357,374
1766.00549316406,4040,142,20,17.3471984863281,47,70,34.5964032859446,1.10895171856357,450
1823.12109375,3888,105,24,17.3570079803467,26,70,34.5964032859446,1.09436838525357,449
1742.11865234375,4129,59,19,17.2752590179443,20,69,34.5651532859946,1.09228505192357,459
1807.57116699219,4043,58,27,17.3042984008789,14,69,34.5859866192946,1.09020171859357,466
1506.11853027344,3986,50,21,17.3125877380371,17,72,34.5359866193746,1.08811838526357,458
1914.88854980469,3489,58,11,17.5564060211182,19,75,34.6089032859246,1.06311838530357,439
1946.27282714844,3334,31,1,17.5726432800293,17,80,34.6172366192446,1.04436838533356,427
1991.39196777344,3255,30,6,17.609037399292,21,91,34.6484866191946,1.04228505200356,405
1898.81262207031,3322,32,7,17.5576438903809,32,85,34.6026532859346,1.04020171867356,454
1567.19763183594,3313,42,32,17.4763870239258,22,71,34.4943199527746,1.03603505201356,460
1926.04455566406,3342,32,9,17.565034866333,28,82,34.6047366192646,1.03395171868356,413
1981.72424316406,3274,25,6,17.5882091522217,17,83,34.6318199525546,1.02770171869356,362
2032.02209472656,3025,35,11,17.6110553741455,58,85,34.6589032858446,1.02770171869356,344
2068.79321289062,2812,44,18,17.5836658477783,87,86,34.6776532858145,1.02145171870356,287
1898.8779296875,3096,20,18,17.5599403381348,97,84,34.6005699526046,1.01311838538356,335
1602.89074707031,2900,57,9,17.4299449920654,79,85,34.4922366194446,1.00686838539356,433
1946.35327148438,3075,26,7,17.5684547424316,60,95,34.6172366192446,1.00270171873356,310
2070.24780273438,2987,42,10,17.5887031555176,34,80,34.6693199524945,1.00061838540356,361
1520.77697753906,3008,50,27,17.4568614959717,86,76,34.5234866193946,0.998535052073562,420
2008.15869140625,3070,29,17,17.5571365356445,69,91,34.6297366192246,0.998535052073562,368
2008.45642089844,2926,26,17,17.5515098571777,95,84,34.6422366192046,0.998535052073562,314
1946.1943359375,3137,26,9,17.5290679931641,22,87,34.5714032859846,0.992285052083562,435
2070.75659179688,2857,38,5,17.5433616638184,42,85,34.6776532858145,0.988118385423562,304
1583.14086914062,2943,55,14,17.415922164917,95,81,34.5234866193946,0.977701718773562,394
1874.90393066406,3065,20,4,17.4841747283936,28,88,34.5547366193446,0.977701718773562,386
2074.43090820312,2753,31,13,17.5291576385498,93,90,34.6839032858045,0.977701718773562,328
2085.51123046875,2786,25,5,17.52370262146,97,97,34.6672366191645,0.971451718783563,299
1573.01086425781,2696,55,21,17.3058948516846,83,91,34.4984866194346,0.965201718793563,414
1962.08569335938,2887,32,3,17.5035152435303,18,96,34.6339032858846,0.965201718793563,337
1893.98901367188,2959,34,7,17.4788131713867,30,84,34.5964032859446,0.963118385463563,339
1599.14013671875,2697,51,22,17.2901210784912,91,87,34.4943199527746,0.958951718803563,444
2094.24169921875,2802,37,13,17.5091724395752,93,88,34.6589032858446,0.952701718813563,297
2032.35412597656,2506,40,12,17.5097579956055,45,93,34.7255699524045,0.942285052163563,286
1729.80090332031,2640,44,15,17.2805519104004,97,88,34.5172366194046,0.940201718833563,416
1756.14807128906,2653,43,16,17.3354911804199,98,85,34.5464032860246,0.940201718833563,407
1681.9873046875,2646,50,15,17.2497444152832,94,89,34.5005699527646,0.938118385503563,411
1738.98461914062,2633,46,19,17.3430004119873,97,84,34.5547366193446,0.938118385503563,421
1647.11413574219,2693,41,24,17.3614063262939,79,84,34.5755699526446,0.938118385503563,408
1986.30163574219,2623,48,23,17.456714630127,72,84,34.6630699525046,0.931868385513563,305
1752.74780273438,2658,38,10,17.3046436309814,97,83,34.5380699527046,0.927701718853563,388
1859.810546875,2676,31,6,17.4022006988525,80,82,34.6089032859246,0.925618385523563,353
1908.40869140625,2447,48,7,17.4504203796387,98,82,34.6859866191345,0.923535052193563,351
2024.74523925781,2607,36,5,17.4278907775879,73,76,34.6422366192046,0.919368385533563,291
2027.4892578125,2482,30,18,17.4814605712891,68,88,34.7068199524345,0.917285052203563,315
1828.02526855469,2486,41,13,17.3504848480225,61,83,34.6089032859246,0.913118385543563,334
1926.45263671875,2543,33,12,17.2529430389404,98,87,34.5380699527046,0.906868385553563,387
1834.63891601562,2477,35,3,17.2617645263672,99,94,34.5609866193346,0.906868385553563,368
1978.35327148438,2478,35,11,17.4129409790039,55,90,34.6547366191846,0.900618385563563,330
