"X","Y","ProfileID","ExMg","ExK","annual_ppt","bareground","driest_ppt","land_elevation","temp_annual_range","temp_seasonality","terrain_slope","topo_pst_index","treecover","valley_depth","veg_index","wetness_index","wettest_ppt"
37.79482,-0.1688,"KE SOTER_122/1-3",9.2,0.08,1188.50805664062,1,18.0496578216553,889,15.5304956436157,77.3534622192383,2,1,19,3278,2052,101,264.279876708984
37.67,-0.08,"KE SOTER_122/1-30",1.6,0.32,1556.51049804688,1,27.2667961120605,1453,15.7807006835938,77.4895477294922,4,-5,18,459,1607,88,334.699279785156
37.57632,-0.11767,"KE SOTER_122/1-47",0.26,0.23,1879.29077148438,0,37.5767707824707,2091,16.2939605712891,85.4107971191406,7,-22,42,-1412,2090,78,398.589294433594
37.60053,-0.22186,"KE SOTER_122/1-55",0.8,0.11,1782.25183105469,0,34.7473907470703,1762,16.1772174835205,82.5736923217773,9,7,41,150,2106,90,382.764801025391
37.88503,-0.11952,"KE SOTER_122/2-12",3.05342465753425,0.456027397260274,1049.60864257812,5,13.3294401168823,733,15.4314336776733,78.439567565918,2,-18,11,3715,1069,110,247.773498535156
37.85934,-0.06698,"KE SOTER_122/2-14",0.9,0.456027397260274,1225.12280273438,7,16.55029296875,899,15.524435043335,77.1218109130859,1,62,12,2430,1176,120,275.767364501953
37.9737,-0.322,"KE SOTER_122/4-112",3.05342465753425,0.456027397260274,821.913330078125,8,9.16051292419434,516,15.3706674575806,81.5956192016602,5,-58,1,4540,1245,99,189.685775756836
37.7953,-0.4671,"KE SOTER_122/4-2",3.05342465753425,0.456027397260274,1260.26123046875,7,17.9311504364014,825,15.8192462921143,81.7963943481445,4,40,4,4542,1215,104,284.848999023438
37.87,-0.47,"KE SOTER_122/4-5",2.3,0.08,1105.02575683594,10,14.1969013214111,712,15.6680126190186,81.6182708740234,3,-90,5,5451,1082,108,244.667892456055
37.8614,-0.3419,"KE SOTER_122/4-7",3.05342465753425,0.456027397260274,1007.93853759766,5,12.3567361831665,723,15.563570022583,80.1440353393555,6,102,15,6181,1099,118,237.188980102539
37.90994,-0.46947,"KE SOTER_122/4-82",4.9,0.2,736.811096191406,9,8.53749370574951,589,15.6113338470459,82.0826873779297,9,-32,1,5802,1233,102,165.131546020508
37.9333,-0.4821,"KE SOTER_122/4-98",3.05342465753425,0.456027397260274,600.757873535156,10,6.33929443359375,687,15.5704679489136,81.9229431152344,12,120,1,4343,963,88,135.706176757812
37.2888,-0.661,"KE SOTER_135/2-2",8,0.14,1366.44311523438,9,36.9454193115234,1190,16.9692802429199,90.9794921875,1,12,8,2611,1348,115,302.565002441406
37.5118,-0.7398,"KE SOTER_136/1-18",3.4,0.4,1024.787109375,20,17.2033443450928,1066,16.5200386047363,85.5257873535156,2,-27,1,2279,1631,116,224.19352722168
37.5475,-0.6176,"KE SOTER_136/1-2",1,0.2,1043.38586425781,2,23.6968212127686,1147,16.3990612030029,84.3233108520508,5,-100,15,1099,1260,110,233.864822387695
37.6403,-0.5565,"KE SOTER_136/1-4",0.6,0.1,942.202697753906,5,16.8789768218994,1150,16.1616992950439,82.1510391235352,2,-41,8,1213,1277,99,204.477584838867
37.6176,-0.5814,"KE SOTER_136/1-5",1,0.2,1173.87133789062,9,18.7793960571289,1177,16.2696743011475,83.9060363769531,1,-43,3,1073,1934,102,280.649261474609
37.7262,-0.7159,"KE SOTER_136/1-53",4,0.9,1341.9169921875,3,17.9158039093018,1028,16.0101375579834,80.5582962036133,2,-34,13,4108,1145,97,302.876861572266
37.699,-0.6357,"KE SOTER_136/1-59",3.05342465753425,0.456027397260274,1268.34875488281,1,19.1575565338135,1114,16.0218448638916,80.3043212890625,6,225,17,3012,1128,93,295.127227783203
37.6448,-0.6923,"KE SOTER_136/1-60",0.6,0.1,1364.30432128906,20,20.3222484588623,1159,16.286262512207,85.2021026611328,4,-42,0,1622,1220,96,301.163879394531
37.9796,-0.638,"KE SOTER_136/2-29",0.9,0.7,638.213623046875,11,6.28097724914551,820,15.6180086135864,84.0081253051758,6,-91,1,7005,837,91,151.40202331543
37.7737,-0.6097,"KE SOTER_136/2-58",3.05342465753425,0.456027397260274,1029.72631835938,5,11.1613616943359,824,15.9956407546997,83.9699935913086,4,-100,8,5624,1600,96,256.462219238281
37.5158,-0.7624,"KE SOTER_136/3-16",15.6,0.2,1281.3095703125,17,20.771448135376,1103,16.565336227417,86.8280487060547,4,41,6,1859,1768,111,275.078002929688
37.28604,-0.1644,"KE SOTER_ASS/P44",3.05342465753425,0.456027397260274,1202.91687011719,33,32.9472808837891,4379,15.9104881286621,60.8461837768555,21,239,0,1473,1112,68,248.890579223633
37.2617,-0.1779,"KE SOTER_ASS/P45",3.05342465753425,0.456027397260274,1104.7236328125,7,29.3705501556396,4012,15.9859533309937,64.0210952758789,22,163,10,1622,1547,69,226.374816894531
37.2918,-0.25,"KE SOTER_ASS/P57",1.7,0.8,1978.59558105469,9,56.9770660400391,3437,16.1511211395264,76.5834045410156,17,-209,10,3154,2387,74,415.520355224609
37.2919,-0.28828,"KE SOTER_ASS/P58",0.5,0.2,2133.68017578125,2,61.3133773803711,3083,16.5118808746338,87.3086013793945,20,293,30,1990,1495,76,446.666961669922
37.461111,-0.172222,"KE wasp_38",0.3,0.2,2157.50756835938,0,50.7822532653809,2830,16.4100360870361,89.4234085083008,12,72,58,-705,1592,80,455.459533691406
37.511111,-0.209722,"KE wasp_39",3.05342465753425,0.3,2014.2939453125,0,44.1924591064453,2340,16.5369319915771,90.9652786254883,8,177,92,294,1617,93,432.274230957031
37.538889,-0.354167,"KE wasp_40",3.05342465753425,0.456027397260274,1834.91296386719,0,38.7509231567383,1687,16.4011039733887,85.6267852783203,10,-283,74,2173,1438,97,398.824645996094
37.541667,-0.354167,"KE wasp_41",2.6,1.5,1834.91296386719,0,38.7509231567383,1687,16.4011039733887,85.6267852783203,10,-283,74,2173,1438,97,398.824645996094
