ProfileID,LayerNr,ExCa,ExMg,ExNa,ExK,Country,loc_longitude,loc_latitude
KE ncss_92P0567,3.000000,3.200000,0.500000,0.500000,0.200000,KE,34.616944,0.001111
KE ncss_92P0568,3.000000,2.500000,2.200000,0.300000,0.700000,KE,37.238889,-1.557778
KE ncss_92P0569,3.000000,5.000000,1.500000,0.300000,3.200000,KE,36.624444,-1.240278
KE ncss_92P1043,3.000000,42.700000,29.800000,3.200000,0.100000,KE,36.737778,-1.250222
KE ncss_92P1044,3.000000,5.800000,2.600000,0.100000,0.600000,KE,34.123389,0.498056
KE ncss_92P1045,3.000000,5.000000,2.700000,0.100000,0.700000,KE,37.666111,-1.852306
KE SOTER_1,3.000000,14.600000,1.100000,1.300000,3.100000,KE,36.200000,0.250000
KE SOTER_101/1-797,3.000000,2.900000,1.000000,0.600000,0.100000,KE,34.130000,0.380000
KE SOTER_101/1-993,3.000000,1.100000,0.000000,0.300000,0.000000,KE,34.250000,0.500000
KE SOTER_101/1-997,3.000000,1.000000,0.500000,0.000000,0.000000,KE,34.230000,0.270000
KE SOTER_101/2-986,3.000000,6.200000,3.600000,0.600000,0.100000,KE,34.250000,0.170000
KE SOTER_101/3-224,3.000000,0.300000,0.000000,0.000000,0.100000,KE,34.200000,0.200000
KE SOTER_101/3-225,3.000000,0.900000,0.100000,0.000000,0.100000,KE,34.180000,0.180000
KE SOTER_101/3-235,3.000000,22.400000,9.800000,4.600000,0.300000,KE,34.040000,0.100000
KE SOTER_101/3-236,3.000000,1.300000,0.400000,0.000000,0.000000,KE,34.080000,0.170000
KE SOTER_101/3-260,3.000000,17.900000,16.200000,2.900000,0.100000,KE,34.070000,0.170000
KE SOTER_101/3-261,3.000000,42.900000,26.400000,7.300000,0.400000,KE,34.030000,0.120000
KE SOTER_101/4-739,3.000000,4.300000,1.400000,0.200000,0.200000,KE,34.370000,0.300000
KE SOTER_101/4-742,3.000000,3.000000,1.000000,0.100000,0.100000,KE,34.480000,0.170000
KE SOTER_101/4-745,3.000000,3.400000,1.200000,0.100000,0.100000,KE,34.330000,0.100000
KE SOTER_102/1-68,3.000000,2.100000,1.000000,0.700000,0.100000,KE,34.700000,0.400000
KE SOTER_102/2-75,3.000000,1.200000,0.800000,0.500000,0.100000,KE,34.600000,0.230000
KE SOTER_102/3-74,3.000000,3.400000,1.400000,0.200000,0.100000,KE,34.730000,0.200000
KE SOTER_102/4-283,3.000000,9.600000,3.100000,1.100000,0.300000,KE,34.970000,0.030000
KE SOTER_102/4-284,3.000000,16.800000,4.800000,1.100000,0.800000,KE,34.930000,0.070000
KE SOTER_102/4-285,3.000000,2.400000,1.100000,1.100000,0.400000,KE,34.970000,0.050000
KE SOTER_102/4-295,3.000000,4.400000,2.000000,0.600000,0.100000,KE,34.950000,0.050000
KE SOTER_102/4-64,3.000000,3.300000,3.600000,0.700000,0.300000,KE,34.850000,0.230000
KE SOTER_102/4-67,3.000000,1.500000,0.500000,0.200000,0.100000,KE,34.720000,0.200000
KE SOTER_102/4-72,3.000000,2.000000,0.700000,0.000000,0.000000,KE,34.780000,0.060000
KE SOTER_103/3-2,3.000000,2.200000,1.500000,0.100000,0.200000,KE,35.150000,0.070000
KE SOTER_104/2-149,3.000000,21.700000,4.700000,1.100000,1.500000,KE,36.230000,1.750000
KE SOTER_104/2-42,3.000000,6.800000,3.000000,0.600000,2.000000,KE,35.800000,0.500000
KE SOTER_104/2-45,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,35.750000,0.270000
KE SOTER_108/1-1,3.000000,11.500000,3.300000,0.400000,1.200000,KE,37.500000,0.200000
KE SOTER_109-91,3.000000,15.600000,7.100000,0.300000,4.400000,KE,38.247700,0.271900
KE SOTER_109-93,3.000000,52.000000,16.400000,0.600000,4.000000,KE,38.211000,0.267500
KE SOTER_11-2,3.000000,48.500000,2.500000,1.700000,3.300000,KE,35.000000,4.000000
KE SOTER_115/1-12,3.000000,2.400000,2.300000,0.500000,0.400000,KE,34.170000,-0.080000
KE SOTER_115/1-53,3.000000,4.400000,2.300000,0.100000,3.300000,KE,34.130000,-0.150000
KE SOTER_115/2-16,3.000000,0.900000,2.200000,0.400000,0.900000,KE,34.320000,-0.060000
KE SOTER_115/2-21,3.000000,0.000000,0.100000,0.000000,0.200000,KE,34.370000,-0.150000
KE SOTER_115/2-26,3.000000,2.000000,2.100000,0.200000,0.200000,KE,34.350000,-0.100000
KE SOTER_115/2-35,3.000000,2.000000,1.000000,0.000000,0.200000,KE,34.420000,-0.080000
KE SOTER_115/2-9,3.000000,2.900000,0.900000,0.100000,0.100000,KE,34.450000,-0.050000
KE SOTER_115/3-83,3.000000,11.700000,5.000000,1.500000,16.700000,KE,34.250000,-0.080000
KE SOTER_115/4-45,3.000000,16.700000,5.100000,0.600000,3.200000,KE,34.300000,-0.300000
KE SOTER_115/4-47,3.000000,18.400000,8.500000,1.500000,3.200000,KE,34.350000,-0.300000
KE SOTER_115/4-48,3.000000,26.000000,4.300000,4.000000,1.800000,KE,34.360000,-0.300000
KE SOTER_115/4-77,3.000000,31.700000,0.900000,0.500000,1.000000,KE,34.480000,-0.370000
KE SOTER_115/4-81,3.000000,10.100000,2.100000,1.000000,15.500000,KE,34.320000,-0.460000
KE SOTER_116/1-32,3.000000,15.800000,9.000000,2.600000,0.700000,KE,35.030000,-0.030000
KE SOTER_116/2-39,3.000000,1.700000,1.600000,0.220000,0.100000,KE,34.830000,-0.030000
KE SOTER_116/2-49,3.000000,16.100000,8.000000,1.700000,0.500000,KE,34.920000,-0.030000
KE SOTER_116/2-50,3.000000,10.100000,4.100000,2.100000,0.300000,KE,34.970000,-0.030000
KE SOTER_117/1-25,3.000000,10.200000,2.400000,1.000000,0.400000,KE,35.160000,-0.220000
KE SOTER_117/1-32,3.000000,15.800000,9.000000,2.600000,0.670000,KE,35.030000,-0.030000
KE SOTER_117/1-48,3.000000,28.500000,3.100000,1.300000,0.900000,KE,35.200000,-0.080000
KE SOTER_117/2-1,3.000000,3.700000,4.500000,0.500000,0.600000,KE,35.358000,-0.105000
KE SOTER_117/2-4,3.000000,13.000000,6.800000,0.400000,1.700000,KE,35.400000,-0.210000
KE SOTER_118/3-2,3.000000,4.100000,2.500000,0.500000,1.100000,KE,35.660000,-0.330000
KE SOTER_118/4-7,3.000000,20.600000,6.600000,0.300000,7.300000,KE,35.920000,-0.350000
KE SOTER_119/3-71,3.000000,10.900000,2.300000,0.200000,1.400000,KE,36.100000,-0.220000
KE SOTER_119/4-4,3.000000,6.000000,0.200000,0.900000,0.300000,KE,36.380000,-0.270000
KE SOTER_122/1-3,3.000000,6.200000,9.200000,0.560000,0.080000,KE,37.794820,-0.168800
KE SOTER_122/1-30,3.000000,2.300000,1.600000,0.140000,0.320000,KE,37.670000,-0.080000
KE SOTER_122/1-47,3.000000,0.600000,0.260000,0.120000,0.230000,KE,37.576320,-0.117670
KE SOTER_122/1-55,3.000000,1.000000,0.800000,0.270000,0.110000,KE,37.600530,-0.221860
KE SOTER_122/2-12,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.885030,-0.119520
KE SOTER_122/2-14,3.000000,3.500000,0.900000,0.000000,0.000000,KE,37.859340,-0.066980
KE SOTER_122/4-112,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.973700,-0.322000
KE SOTER_122/4-2,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.795300,-0.467100
KE SOTER_122/4-5,3.000000,21.600000,2.300000,0.140000,0.080000,KE,37.870000,-0.470000
KE SOTER_122/4-7,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.861400,-0.341900
