"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
3974,150,58,15,71,34.5922366192846,1.11936838521357,345
4083,127,60,28,69,34.5776532859746,1.10686838523357,401
4111,95,60,15,70,34.5672366193246,1.10270171857357,358
3752,72,63,21,71,34.6151532859146,1.09020171859357,431
3318,52,62,12,74,34.6359866192146,1.07561838528357,358
3246,32,58,23,79,34.5005699527646,1.04645171866356,404
3224,37,59,28,80,34.4984866194346,1.03603505201356,416
3158,32,60,13,83,34.6609866191746,1.03395171868356,307
3273,30,61,8,80,34.6234866192346,1.02561838536356,333
3186,36,55,9,83,34.5005699527646,1.01728505204356,335
3293,37,59,7,79,34.5214032860646,1.01728505204356,349
3204,26,60,8,85,34.6089032859246,1.01728505204356,363
3083,33,58,9,93,34.6234866192346,1.00686838539356,269
2980,27,56,7,82,34.6609866191746,1.00478505206356,261
2836,34,54,17,77,34.6818199524745,1.00478505206356,257
3073,43,54,27,75,34.5255699527246,1.00270171873356,410
3008,32,54,8,81,34.5089032860846,1.00061838540356,365
3008,32,54,8,81,34.5109866194146,1.00061838540356,361
3080,25,58,9,88,34.6089032859246,1.00061838540356,277
2902,37,54,9,83,34.5193199527346,0.994368385413562,395
3008,50,54,27,76,34.5276532860546,0.994368385413562,338
2926,26,56,17,84,34.6443199525346,0.994368385413562,266
2982,31,56,14,80,34.5797366193046,0.990201718753562,347
3017,31,56,8,90,34.5984866192746,0.988118385423562,295
2661,51,56,9,90,34.6964032857845,0.988118385423562,243
2706,38,55,8,88,34.6922366191245,0.986035052093562,244
2753,31,55,13,90,34.6859866191345,0.981868385433562,242
2975,31,53,11,92,34.6089032859246,0.979785052103562,262
2943,55,55,14,81,34.5214032860646,0.977701718773562,353
3008,41,54,10,83,34.5339032860446,0.975618385443562,370
2753,31,55,13,90,34.6859866191345,0.975618385443562,249
2683,59,54,21,87,34.4880699527846,0.969368385453563,425
2859,56,51,16,82,34.5214032860646,0.965201718793563,367
2674,38,53,20,92,34.6797366191445,0.963118385463563,281
2891,34,54,2,93,34.6297366192246,0.954785052143563,241
2850,36,53,9,87,34.6526532858546,0.952701718813563,280
2662,50,51,17,90,34.4922366194446,0.948535052153563,383
2695,44,51,4,92,34.5047366194246,0.946451718823563,382
2710,40,52,20,85,34.5401532860346,0.944368385493563,385
2695,51,51,15,91,34.5797366193046,0.944368385493563,281
2695,44,51,4,92,34.5109866194146,0.942285052163563,377
2568,52,51,17,95,34.4880699527846,0.940201718833563,384
2726,44,52,19,83,34.5943199526146,0.940201718833563,300
2653,43,53,16,85,34.5505699526846,0.938118385503563,386
2640,39,52,11,90,34.5797366193046,0.938118385503563,287
2646,50,52,15,89,34.4984866194346,0.936035052173563,379
2636,45,51,29,85,34.5234866193946,0.936035052173563,380
2495,42,52,20,85,34.5339032860446,0.933951718843563,364
2642,39,53,8,85,34.6568199525146,0.933951718843563,292
2552,34,54,16,91,34.7089032857645,0.933951718843563,248
2536,46,51,20,91,34.4880699527846,0.929785052183563,369
2512,39,54,26,78,34.6776532858145,0.927701718853563,290
2549,45,52,30,85,34.5318199527146,0.925618385523563,341
2560,46,52,27,83,34.5755699526446,0.925618385523563,300
2336,36,59,11,87,34.7484866190345,0.925618385523563,397
2346,44,52,25,86,34.4755699528046,0.923535052193563,411
2482,30,54,18,88,34.7047366191045,0.921451718863563,298
2436,40,54,13,84,34.6880699524645,0.919368385533563,275
2491,34,53,17,86,34.5672366193246,0.917285052203563,285
2594,31,54,10,90,34.5859866192946,0.917285052203563,283
2447,48,52,7,82,34.6818199524745,0.917285052203563,298
2554,35,52,8,80,34.5297366193846,0.915201718873563,350
2513,40,52,19,87,34.5901532859546,0.915201718873563,312
2364,34,53,14,81,34.6568199525146,0.913118385543563,327
2531,35,56,20,80,34.5130699527446,0.911035052213563,381
2357,25,54,14,83,34.6901532857945,0.906868385553563,342
2080,31,60,10,87,34.8005699522845,0.906868385553563,423
2412,31,55,11,92,34.5672366193246,0.904785052223563,289
2360,28,52,38,78,34.5130699527446,0.902701718893563,371
2451,28,53,12,84,34.6818199524745,0.902701718893563,331
2316,30,56,10,86,34.6130699525846,0.890201718913563,403
2253,30,54,17,87,34.6214032859046,0.890201718913563,362
2098,31,60,4,89,34.7776532856545,0.890201718913563,442
2449,40,57,4,83,34.5297366193846,0.888118385583563,378
2449,40,57,4,83,34.5339032860446,0.888118385583563,374
2383,35,57,12,93,34.6047366192646,0.888118385583563,357
2350,29,54,10,84,34.6318199525546,0.888118385583563,334
1812,25,62,4,101,35.0693199518544,0.886035052253563,280
2267,30,55,6,85,34.6443199525346,0.881868385593563,325
2229,30,54,20,87,34.4734866194746,0.873535052273563,293
1809,25,61,5,109,35.0068199519544,0.873535052273563,302
2299,27,52,18,92,34.4943199527746,0.869368385613563,235
2283,39,57,15,84,34.5255699527246,0.869368385613563,312
2253,42,59,7,80,34.4630699528246,0.867285052283563,391
2106,27,61,9,87,34.7214032857445,0.867285052283563,398
1956,26,60,11,90,34.7943199522945,0.867285052283563,393
1735,18,59,4,107,34.9672366186844,0.867285052283563,263
2241,40,58,4,95,34.5568199526746,0.865201718953563,298
2012,29,59,9,87,34.7422366190445,0.865201718953563,389
1849,23,62,3,107,35.0755699518444,0.865201718953563,288
2300,27,53,14,91,34.4964032861046,0.863118385623563,238
1823,21,61,3,106,35.0359866185744,0.863118385623563,274
2282,40,58,9,91,34.5880699526246,0.861035052293563,387
2205,31,61,6,87,34.6130699525846,0.861035052293563,375
2037,31,59,12,84,34.7318199523945,0.861035052293563,441
2037,31,59,12,84,34.7339032857245,0.861035052293563,438
2233,36,58,7,97,34.5693199526546,0.858951718963563,295
1824,17,59,5,111,35.0401532852344,0.858951718963563,260
1783,21,59,3,103,35.0401532852344,0.856868385633563,317
1717,23,60,6,104,34.9339032854044,0.854785052303563,284
2180,27,52,5,88,34.4901532861146,0.852701718973563,264
1737,24,60,17,91,34.7964032856245,0.852701718973563,417
1823,21,57,16,100,35.1109866184543,0.852701718973563,321
1975,30,60,8,90,34.7255699524045,0.850618385643563,384
1746,24,62,7,102,34.9484866187144,0.850618385643563,254
1767,21,60,2,104,35.0214032852644,0.850618385643563,290
1823,21,57,16,100,35.1109866184543,0.850618385643563,316
1944,30,60,10,86,34.7339032857245,0.848535052313563,407
2244,31,55,11,81,34.5026532860946,0.846451718983563,274
1729,19,60,5,95,34.7818199523145,0.846451718983563,376
2117,45,58,10,96,34.5776532859746,0.844368385653563,406
2244,31,55,11,81,34.5026532860946,0.842285052323563,325
2181,44,58,17,84,34.5339032860446,0.842285052323563,351
1803,23,62,3,103,35.0193199519344,0.838118385663563,280
1802,18,57,4,103,35.0443199518944,0.838118385663563,317
1863,18,57,3,108,35.0797366185043,0.838118385663563,275
1531,16,57,12,96,34.4297366195447,0.833951719003563,332
1753,31,59,14,89,34.7380699523845,0.833951719003563,365
1682,19,59,3,97,34.8068199522745,0.833951719003563,381
1771,20,60,4,103,35.0234866185944,0.833951719003563,330
1873,16,57,2,111,35.1005699518043,0.833951719003563,286
1735,20,59,3,108,34.7943199522945,0.831868385673563,311
1781,17,60,4,103,34.9401532853944,0.831868385673563,290
1843,19,59,3,110,35.0984866184743,0.831868385673563,277
2098,43,58,16,92,34.5776532859746,0.829785052343563,331
1720,18,59,5,106,34.7964032856245,0.829785052343563,310
1781,17,60,4,103,34.9401532853944,0.829785052343563,271
1794,17,59,2,106,35.0380699519044,0.829785052343563,299
1957,38,60,13,86,34.6484866191946,0.827701719013563,421
1834,37,58,19,91,34.7068199524345,0.827701719013563,428
1643,31,57,9,85,34.4568199528346,0.825618385683563,367
1804,22,61,2,102,35.0047366186244,0.825618385683563,288
1765,20,60,1,106,35.0255699519244,0.825618385683563,301
1782,42,58,25,78,34.5068199527546,0.823535052353563,408
1739,17,59,5,104,34.8630699521845,0.823535052353563,303
1558,17,59,6,90,34.4464032861847,0.821451719023563,323
1831,33,59,20,83,34.6776532858145,0.817285052363563,451
1693,22,58,6,95,34.7172366190845,0.817285052363563,382
