"X","Y","k","annual_ppt","bareground","elevation","occ","ph20","slope","temp_annual_range","topo_pst_index","treecover","valley_depth","veg_index","wetness_index"
34.5901532859546,1.13186838519357,374,1573.68542480469,0,3841,139,57,23,17.4913291931152,-43,54,-1001,1332,74
34.5964032859446,1.10895171856357,450,1766.00549316406,0,4040,142,58,20,17.3471984863281,372,47,-4938,1641,70
34.5609866193346,1.10270171857357,430,1662.52514648438,5,4132,82,60,16,17.302770614624,173,24,-1113,1801,73
34.5776532859746,1.10270171857357,408,1660.96826171875,1,4083,127,60,28,17.3284225463867,-113,50,-1145,1915,69
34.5964032859446,1.09436838525357,449,1823.12109375,1,3888,105,61,24,17.3570079803467,-174,26,-2896,2640,70
34.5651532859946,1.09228505192357,459,1742.11865234375,5,4129,59,59,19,17.2752590179443,421,20,-1887,1753,69
34.5859866192946,1.09020171859357,466,1807.57116699219,6,4043,58,61,27,17.3042984008789,311,14,-1144,2245,69
34.5359866193746,1.08811838526357,458,1506.11853027344,6,3986,50,59,21,17.3125877380371,359,17,1361,3015,72
34.6089032859246,1.06311838530357,439,1914.88854980469,4,3489,58,63,11,17.5564060211182,-31,19,-489,2276,75
34.6172366192446,1.04436838533356,427,1946.27282714844,4,3334,31,63,1,17.5726432800293,-86,17,-408,1990,80
34.6484866191946,1.04228505200356,405,1991.39196777344,4,3255,30,62,6,17.609037399292,253,21,-2925,2077,91
34.6026532859346,1.04020171867356,454,1898.81262207031,1,3322,32,62,7,17.5576438903809,-13,32,1320,2689,85
34.4943199527746,1.03603505201356,460,1567.19763183594,4,3313,42,58,32,17.4763870239258,52,22,2363,1864,71
34.6047366192646,1.03395171868356,413,1926.04455566406,4,3342,32,61,9,17.565034866333,43,28,608,2587,82
34.6318199525546,1.02770171869356,362,1981.72424316406,2,3274,25,60,6,17.5882091522217,328,17,65,1744,83
34.6589032858446,1.02770171869356,344,2032.02209472656,0,3025,35,57,11,17.6110553741455,-395,58,-854,1205,85
34.6005699526046,1.02561838536356,386,1887.54431152344,3,3316,34,62,15,17.5597763061523,177,19,970,2138,87
34.6776532858145,1.02145171870356,287,2068.79321289062,0,2812,44,55,18,17.5836658477783,-418,87,-1190,1299,86
34.6005699526046,1.01311838538356,335,1898.8779296875,0,3096,20,61,18,17.5599403381348,-376,97,2102,1941,84
34.6339032858846,1.01311838538356,340,1968.70202636719,0,3043,22,58,22,17.5838890075684,-221,63,1260,1786,83
34.6443199525346,1.01103505205356,319,2000.21240234375,0,3150,36,58,24,17.5895233154297,409,44,436,1808,83
34.4922366194446,1.00686838539356,433,1602.89074707031,0,2900,57,54,9,17.4299449920654,-480,79,5191,1417,85
34.6172366192446,1.00270171873356,310,1946.35327148438,0,3075,26,58,7,17.5684547424316,106,60,1519,1322,95
34.6693199524945,1.00061838540356,361,2070.24780273438,0,2987,42,57,10,17.5887031555176,238,34,-223,1514,80
34.5234866193946,0.998535052073562,420,1520.77697753906,0,3008,50,54,27,17.4568614959717,-198,86,4406,1238,76
34.6297366192246,0.998535052073562,368,2008.15869140625,0,3070,29,58,17,17.5571365356445,457,69,392,1591,91
34.6422366192046,0.998535052073562,314,2008.45642089844,0,2926,26,56,17,17.5515098571777,7,95,1260,1814,84
34.5776532859746,0.994368385413562,409,1946.1943359375,4,3137,26,60,9,17.5290679931641,64,22,1343,2144,87
34.6234866192346,0.994368385413562,331,1986.017578125,0,3035,29,56,15,17.5592994689941,-42,66,588,1292,91
34.5714032859846,0.992285052083562,435,1946.1943359375,4,3137,26,60,9,17.5290679931641,64,22,1343,2144,87
34.5818199526346,0.992285052083562,403,1956.3671875,0,3140,25,59,21,17.5320682525635,101,37,894,1648,77
34.5901532859546,0.990201718753562,349,1899.40026855469,0,3040,27,57,2,17.5147380828857,110,30,1199,1769,85
34.6776532858145,0.988118385423562,304,2070.75659179688,0,2857,38,56,5,17.5433616638184,205,42,-1641,1596,85
34.5734866193146,0.979785052103562,440,1925.81640625,1,3079,23,58,14,17.4957847595215,371,51,1078,1535,82
34.5234866193946,0.977701718773562,394,1583.14086914062,0,2943,55,55,14,17.415922164917,-17,95,3386,1160,81
34.5547366193446,0.977701718773562,386,1874.90393066406,4,3065,20,57,4,17.4841747283936,5,28,944,2190,88
34.6401532858746,0.977701718773562,352,2052.76000976562,0,2926,37,54,8,17.5321235656738,130,56,182,1504,96
34.6839032858045,0.977701718773562,328,2074.43090820312,0,2753,31,55,13,17.5291576385498,-129,93,-1410,1386,90
34.6734866191545,0.973535052113563,323,2078.9580078125,0,2765,22,54,18,17.5206699371338,50,95,-1156,1715,95
34.6672366191645,0.971451718783563,299,2085.51123046875,0,2786,25,54,5,17.52370262146,53,97,-953,1693,97
34.4984866194346,0.965201718793563,414,1573.01086425781,0,2696,55,52,21,17.3058948516846,61,83,5586,2101,91
34.6339032858846,0.965201718793563,337,1962.08569335938,0,2887,32,54,3,17.5035152435303,256,18,-425,1568,96
34.6672366191645,0.965201718793563,300,2105.64428710938,0,2770,29,55,7,17.5205154418945,-10,96,-1449,1839,93
34.6693199524945,0.965201718793563,296,2105.64428710938,0,2770,29,55,7,17.5205154418945,-10,96,-1449,1839,93
34.5964032859446,0.963118385463563,339,1893.98901367188,1,2959,34,54,7,17.4788131713867,397,30,262,1260,84
34.5964032859446,0.961035052133563,342,1893.98901367188,1,2959,34,54,7,17.4788131713867,397,30,262,1260,84
34.6339032858846,0.961035052133563,357,1962.08569335938,0,2887,32,54,3,17.5035152435303,256,18,-425,1568,96
34.6943199524545,0.961035052133563,289,2079.080078125,0,2603,45,56,16,17.5125045776367,-389,67,-1727,1504,92
34.4943199527746,0.958951718803563,444,1599.14013671875,0,2697,51,52,22,17.2901210784912,-241,91,6132,2077,87
34.6318199525546,0.954785052143563,376,1972.11437988281,0,2891,34,54,2,17.4937057495117,322,54,-1001,1584,93
34.6589032858446,0.952701718813563,297,2094.24169921875,0,2802,37,53,13,17.5091724395752,218,93,-1511,1965,88
34.7255699524045,0.942285052163563,286,2032.35412597656,0,2506,40,57,12,17.5097579956055,48,45,-2399,1718,93
