"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
4083,127,60,28,69,34.5776532859746,1.10686838523357,401
3318,52,62,12,74,34.6359866192146,1.07561838528357,358
3273,30,61,8,80,34.6234866192346,1.02561838536356,333
3186,36,55,9,83,34.5005699527646,1.01728505204356,335
3204,26,60,8,85,34.6089032859246,1.01728505204356,363
3083,33,58,9,93,34.6234866192346,1.00686838539356,269
2987,42,57,10,80,34.6630699525046,1.00686838539356,254
2836,34,54,17,77,34.6818199524745,1.00478505206356,257
3008,32,54,8,81,34.5089032860846,1.00061838540356,365
3080,25,58,9,88,34.6089032859246,1.00061838540356,277
3217,31,58,7,81,34.5505699526846,0.994368385413562,309
2926,26,56,17,84,34.6443199525346,0.994368385413562,266
2982,31,56,14,80,34.5797366193046,0.990201718753562,347
3017,31,56,8,90,34.5984866192746,0.988118385423562,295
2661,51,56,9,90,34.6964032857845,0.988118385423562,243
3040,27,57,2,85,34.5922366192846,0.983951718763562,278
2928,55,54,8,85,34.5130699527446,0.981868385433562,372
2753,31,55,13,90,34.6859866191345,0.981868385433562,242
2721,41,54,9,97,34.6922366191245,0.981868385433562,241
2943,55,55,14,81,34.5214032860646,0.977701718773562,353
3008,41,54,10,83,34.5339032860446,0.975618385443562,370
2770,29,55,7,93,34.6672366191645,0.963118385463563,269
2674,38,53,20,92,34.6797366191445,0.963118385463563,281
2603,45,56,16,92,34.6943199524545,0.961035052133563,244
2726,38,53,15,82,34.5880699526246,0.954785052143563,307
2891,34,54,2,93,34.6297366192246,0.954785052143563,241
2850,36,53,9,87,34.6526532858546,0.952701718813563,280
2646,30,55,3,93,34.6797366191445,0.950618385483563,270
2710,40,52,20,85,34.5401532860346,0.944368385493563,385
2695,44,51,4,92,34.5109866194146,0.942285052163563,377
2726,44,52,19,83,34.5943199526146,0.940201718833563,300
2646,50,52,15,89,34.4984866194346,0.936035052173563,379
2536,46,51,20,91,34.4880699527846,0.929785052183563,369
2755,46,53,25,79,34.6297366192246,0.929785052183563,310
2512,39,54,26,78,34.6776532858145,0.927701718853563,290
2549,45,52,30,85,34.5318199527146,0.925618385523563,341
2482,30,54,18,88,34.7047366191045,0.921451718863563,298
2436,40,54,13,84,34.6880699524645,0.919368385533563,275
2364,34,53,14,81,34.6568199525146,0.913118385543563,327
2453,25,54,12,89,34.7130699524245,0.913118385543563,312
2357,25,54,14,83,34.6901532857945,0.906868385553563,342
2412,31,55,11,92,34.5672366193246,0.904785052223563,289
2451,28,53,12,84,34.6818199524745,0.902701718893563,331
2366,35,52,10,96,34.5026532860946,0.890201718913563,351
2449,40,57,4,83,34.5297366193846,0.888118385583563,378
2449,40,57,4,83,34.5339032860446,0.888118385583563,374
2267,30,55,6,85,34.6443199525346,0.881868385593563,325
2229,30,54,20,87,34.4734866194746,0.873535052273563,293
1809,25,61,5,109,35.0068199519544,0.873535052273563,302
2283,39,57,15,84,34.5255699527246,0.869368385613563,312
2241,40,58,4,95,34.5568199526746,0.865201718953563,298
2012,29,59,9,87,34.7422366190445,0.865201718953563,389
2300,27,53,14,91,34.4964032861046,0.863118385623563,238
2233,36,58,7,97,34.5693199526546,0.858951718963563,295
1783,21,59,3,103,35.0401532852344,0.856868385633563,317
1823,21,57,16,100,35.1109866184543,0.852701718973563,321
1975,30,60,8,90,34.7255699524045,0.850618385643563,384
1767,21,60,2,104,35.0214032852644,0.850618385643563,290
1823,21,57,16,100,35.1109866184543,0.850618385643563,316
2244,31,55,11,81,34.5026532860946,0.846451718983563,274
1729,19,60,5,95,34.7818199523145,0.846451718983563,376
1803,23,62,3,103,35.0193199519344,0.838118385663563,280
1531,16,57,12,96,34.4297366195447,0.833951719003563,332
1682,19,59,3,97,34.8068199522745,0.833951719003563,381
1771,20,60,4,103,35.0234866185944,0.833951719003563,330
1863,18,57,3,108,35.0839032851643,0.833951719003563,289
1720,18,59,5,106,34.7964032856245,0.829785052343563,310
1794,17,59,2,106,35.0380699519044,0.829785052343563,299
1524,18,57,5,94,34.4443199528547,0.827701719013563,371
1643,31,57,9,85,34.4568199528346,0.825618385683563,367
1804,22,61,2,102,35.0047366186244,0.825618385683563,288
1765,20,60,1,106,35.0255699519244,0.825618385683563,301
1686,18,60,4,104,34.8047366189445,0.823535052353563,329
1739,17,59,5,104,34.8630699521845,0.823535052353563,303
1558,17,59,6,90,34.4464032861847,0.821451719023563,323
1855,22,61,4,111,35.1401532850743,0.819368385693563,282
1693,22,58,6,95,34.7172366190845,0.817285052363563,382
1696,18,59,3,107,34.7797366189845,0.817285052363563,314
1736,16,59,4,103,34.8901532854744,0.817285052363563,234
1736,16,59,4,103,34.8943199521344,0.817285052363563,254
1697,21,58,4,106,34.7464032857045,0.808951719043563,301
1735,16,60,4,103,34.8651532855145,0.802701719053563,222
1776,19,60,3,107,35.0380699519044,0.800618385723563,284
1708,20,58,4,106,34.7339032857245,0.798535052393563,281
1780,16,58,2,108,35.0734866185144,0.796451719063563,303
1708,20,60,2,103,34.9797366186644,0.794368385733563,313
1438,13,59,4,106,34.4255699528847,0.792285052403563,271
1627,20,58,5,99,34.4922366194446,0.792285052403563,299
1626,24,57,4,91,34.5214032860646,0.792285052403563,328
1800,18,59,4,107,35.0359866185744,0.792285052403563,292
1804,15,58,3,111,35.0839032851643,0.792285052403563,345
1702,18,61,4,101,34.8693199521745,0.788118385743563,225
1771,17,62,4,110,35.0943199518143,0.788118385743563,317
1808,16,60,6,106,35.0505699518844,0.783951719083563,253
1820,22,58,4,106,35.0172366186044,0.781868385753563,231
1810,15,58,3,109,35.0964032851443,0.779785052423563,308
1627,17,58,5,98,34.5172366194046,0.775618385763563,286
1710,15,58,2,106,34.9672366186844,0.775618385763563,270
1862,22,60,4,104,35.1234866184343,0.773535052433563,343
1797,18,58,3,105,35.0859866184943,0.771451719103563,287
1671,19,58,5,109,34.7339032857245,0.769368385773563,291
1738,14,57,4,99,34.9984866186344,0.769368385773563,255
1738,14,57,4,99,35.0026532852944,0.769368385773563,276
1671,19,58,5,109,34.7318199523945,0.767285052443563,296
1869,19,58,1,113,35.1380699517443,0.767285052443563,366
1635,20,56,8,91,34.5255699527246,0.763118385783563,229
1645,22,57,4,96,34.5609866193346,0.763118385783563,324
1561,15,58,7,99,34.4984866194346,0.761035052453563,246
1675,25,56,7,91,34.6026532859346,0.761035052453563,277
1660,20,59,4,111,34.7380699523845,0.761035052453563,294
1678,22,60,3,106,34.9547366187044,0.761035052453563,283
1473,15,60,6,103,34.4609866194946,0.758951719123563,304
1640,22,62,4,107,34.9422366187244,0.756868385793563,291
1759,20,59,8,104,35.0693199518544,0.756868385793563,304
1523,17,58,10,99,34.4922366194446,0.754785052463563,271
1663,22,59,4,109,34.7818199523145,0.754785052463563,211
1918,20,58,2,117,35.1318199517543,0.752701719133563,383
1652,20,56,20,85,34.5318199527146,0.750618385803563,268
1642,19,57,6,95,34.6026532859346,0.750618385803563,239
1626,17,58,2,108,34.6193199525746,0.750618385803563,217
1654,18,56,7,88,34.5380699527046,0.748535052473563,243
1610,15,59,5,108,34.8234866189145,0.748535052473563,256
1631,15,60,4,109,34.8318199522345,0.746451719143563,250
1413,13,60,7,104,34.4422366195247,0.744368385813563,305
1676,18,57,5,99,35.0339032852444,0.744368385813563,318
1649,19,59,2,112,34.8068199522745,0.742285052483563,192
1620,14,60,2,107,34.8443199522145,0.742285052483563,242
1648,22,61,5,100,34.9651532853544,0.742285052483563,314
1680,18,59,4,101,35.0172366186044,0.742285052483563,302
1586,15,56,3,100,34.5943199526146,0.740201719153563,297
