"annual_precip","occ","ph20","tree_cover","X","Y","mg"
1821.35168457031,32,58,13,36.6547143853135,-0.76396826112766,366
1845.66821289062,36,58,20,36.6651309628494,-0.76396826112766,359
1845.66821289062,36,58,20,36.6672142783566,-0.76396826112766,382
1876.22729492188,46,59,25,36.6734642248781,-0.76396826112766,310
1961.96130371094,59,59,12,36.683880802414,-0.766051615164134,269
1969.1123046875,62,54,57,36.6901307489355,-0.766051615164134,226
1876.42614746094,37,60,43,36.6567977008207,-0.768134969200608,361
1896.49816894531,45,59,47,36.6630476473422,-0.768134969200608,389
1969.1123046875,62,54,57,36.6880474334284,-0.768134969200608,228
1876.42614746094,37,60,43,36.6526310698063,-0.770218323237082,408
1876.42614746094,37,60,43,36.6547143853135,-0.770218323237082,374
1876.42614746094,37,60,43,36.6567977008207,-0.770218323237082,363
1896.49816894531,45,59,47,36.660964331835,-0.770218323237082,390
1896.49816894531,45,59,47,36.6672142783566,-0.770218323237082,383
1969.1123046875,62,54,57,36.6922140644427,-0.770218323237082,207
1884.14611816406,64,53,43,36.6942973799499,-0.770218323237082,208
1925.89526367188,48,58,57,36.6713809093709,-0.772301677273556,330
1964.70007324219,74,53,51,36.6963806954571,-0.774385031310031,195
1998.57580566406,56,56,56,36.6776308558925,-0.776468385346505,312
1998.57580566406,56,56,56,36.6817974869068,-0.776468385346505,281
2025.41931152344,55,54,63,36.6880474334284,-0.776468385346505,208
1998.57580566406,56,56,56,36.6797141713997,-0.780635093419453,268
1964.70007324219,74,53,51,36.6984640109643,-0.780635093419453,199
1989.34338378906,45,58,85,36.6692975938638,-0.782718447455927,315
1925.11779785156,57,52,81,36.7026306419786,-0.782718447455927,183
2022.98913574219,49,57,85,36.683880802414,-0.784801801492402,228
2059.2392578125,59,53,59,36.6922140644427,-0.786885155528876,185
1925.11779785156,57,52,81,36.706797272993,-0.786885155528876,224
1975.43103027344,40,58,34,36.660964331835,-0.78896850956535,309
1999.3896484375,44,58,18,36.6588810163279,-0.791051863601824,309
2012.52673339844,43,56,64,36.6755475403853,-0.793135217638298,215
2039.61181640625,44,58,55,36.6817974869068,-0.793135217638298,222
1892.31884765625,43,50,94,36.7109639040073,-0.793135217638298,189
2012.52673339844,43,56,64,36.6755475403853,-0.795218571674773,219
2039.61181640625,44,58,55,36.6797141713997,-0.795218571674773,220
2000.82043457031,55,52,50,36.7026306419786,-0.795218571674773,158
1892.31884765625,43,50,94,36.7130472195145,-0.795218571674773,194
2000.82043457031,55,52,50,36.7088805885002,-0.797301925711247,173
2023.39514160156,46,58,36,36.6588810163279,-0.799385279747721,298
2028.00646972656,43,57,90,36.6651309628494,-0.799385279747721,256
2065.36376953125,75,53,69,36.7047139574858,-0.799385279747721,165
1969.84948730469,52,50,69,36.7151305350217,-0.799385279747721,180
2028.00646972656,43,57,90,36.6672142783566,-0.801468633784195,228
2105.892578125,73,52,52,36.6942973799499,-0.801468633784195,164
2023.39514160156,46,58,36,36.6567977008207,-0.803551987820669,271
2028.00646972656,43,57,90,36.6651309628494,-0.803551987820669,242
2088.53735351562,63,54,77,36.6859641179212,-0.803551987820669,200
2065.36376953125,75,53,69,36.7026306419786,-0.803551987820669,180
2011.29211425781,42,57,45,36.6463811232848,-0.805635341857144,352
2023.39514160156,46,58,36,36.6588810163279,-0.805635341857144,275
2034.21020507812,42,54,94,36.6692975938638,-0.805635341857144,249
2065.36376953125,75,53,69,36.7047139574858,-0.805635341857144,210
2030.07470703125,46,58,40,36.648464438792,-0.807718695893618,301
2108.39624023438,59,52,65,36.7026306419786,-0.807718695893618,182
2108.39624023438,59,52,65,36.7047139574858,-0.807718695893618,224
2108.39624023438,59,52,65,36.706797272993,-0.807718695893618,178
2094.02734375,62,52,43,36.6859641179212,-0.809802049930092,184
2108.39624023438,59,52,65,36.7047139574858,-0.809802049930092,171
2014.04443359375,42,58,21,36.6401311767633,-0.811885403966566,370
2042.34692382812,48,54,37,36.6672142783566,-0.811885403966566,225
2049.64331054688,41,55,93,36.6734642248781,-0.811885403966566,212
2049.64331054688,41,55,93,36.6755475403853,-0.811885403966566,210
2113.49926757812,60,52,76,36.7005473264714,-0.811885403966566,212
2030.07470703125,46,58,40,36.6505477542992,-0.81396875800304,293
2039.71667480469,56,58,15,36.6526310698063,-0.81396875800304,300
2039.71667480469,56,58,15,36.6547143853135,-0.81396875800304,290
2042.34692382812,48,54,37,36.6630476473422,-0.81396875800304,261
2113.49926757812,60,52,76,36.6984640109643,-0.81396875800304,171
2065.16357421875,61,51,69,36.7109639040073,-0.81396875800304,162
1997.97534179688,52,50,61,36.7297137435719,-0.81396875800304,229
1997.97534179688,52,50,61,36.7317970590791,-0.81396875800304,227
2028.65319824219,47,59,16,36.6422144922704,-0.816052112039515,349
2052.11010742188,55,58,21,36.6672142783566,-0.816052112039515,254
1992.98388671875,59,51,61,36.7401303211078,-0.816052112039515,233
2052.41064453125,46,59,18,36.6547143853135,-0.818135466075989,302
2078.05151367188,54,53,43,36.6797141713997,-0.818135466075989,204
2125.51879882812,61,52,70,36.706797272993,-0.818135466075989,166
2028.65319824219,47,59,16,36.6380478612561,-0.820218820112463,314
2028.65319824219,47,59,16,36.6422144922704,-0.820218820112463,313
2059.212890625,53,54,53,36.6713809093709,-0.820218820112463,255
2118.15771484375,61,50,62,36.7130472195145,-0.820218820112463,206
2050.49755859375,53,50,90,36.7338803745863,-0.820218820112463,219
2045.42529296875,49,59,15,36.6442978077776,-0.822302174148937,300
2045.42529296875,49,59,15,36.6463811232848,-0.822302174148937,289
2052.41064453125,46,59,18,36.6588810163279,-0.822302174148937,288
2116.43090820312,62,52,54,36.7005473264714,-0.822302174148937,189
2093.58032226562,64,52,60,36.7255471125576,-0.822302174148937,187
2050.49755859375,53,50,90,36.7317970590791,-0.822302174148937,217
2039.8525390625,47,58,96,36.6422144922704,-0.824385528185411,283
2056.283203125,51,59,11,36.6442978077776,-0.824385528185411,282
2062.58471679688,47,59,17,36.6567977008207,-0.824385528185411,299
2062.2607421875,46,58,15,36.660964331835,-0.824385528185411,311
2069.35424804688,46,59,15,36.6755475403853,-0.824385528185411,267
2086.27807617188,48,55,15,36.6817974869068,-0.824385528185411,239
2128.48974609375,62,52,59,36.7026306419786,-0.824385528185411,192
2130.93701171875,60,53,61,36.7130472195145,-0.824385528185411,218
2094.28002929688,41,50,62,36.7297137435719,-0.824385528185411,200
1865.01391601562,29,60,1,36.590131604591,-0.826468882221886,434
1973.4677734375,36,58,14,36.625547968213,-0.826468882221886,338
2056.283203125,51,59,11,36.648464438792,-0.826468882221886,287
2062.2607421875,46,58,15,36.6651309628494,-0.826468882221886,326
2069.35424804688,46,59,15,36.6713809093709,-0.826468882221886,296
2086.27807617188,48,55,15,36.6776308558925,-0.826468882221886,280
2123.32690429688,50,51,57,36.7213804815432,-0.826468882221886,203
2094.28002929688,41,50,62,36.7276304280648,-0.826468882221886,193
2011.38024902344,50,60,82,36.6297145992274,-0.82855223625836,240
2056.283203125,51,59,11,36.6505477542992,-0.82855223625836,296
1927.71569824219,46,58,46,36.6088814441556,-0.830635590294834,369
2011.38024902344,50,60,82,36.6297145992274,-0.830635590294834,252
2039.8525390625,47,58,96,36.6380478612561,-0.830635590294834,290
2062.58471679688,47,59,17,36.6567977008207,-0.830635590294834,303
2062.2607421875,46,58,15,36.660964331835,-0.830635590294834,322
2069.35424804688,46,59,15,36.6692975938638,-0.830635590294834,287
2103.26953125,48,54,56,36.6880474334284,-0.830635590294834,222
2123.32690429688,50,51,57,36.719297166036,-0.830635590294834,209
2033.31726074219,49,50,70,36.7359636900935,-0.830635590294834,201
2033.31726074219,49,50,70,36.7401303211078,-0.830635590294834,201
1987.56970214844,37,60,73,36.6213813371987,-0.832718944331308,321
2047.7099609375,49,59,78,36.6359645457489,-0.832718944331308,264
2047.7099609375,49,59,78,36.6422144922704,-0.832718944331308,316
2064.61694335938,53,60,13,36.648464438792,-0.832718944331308,284
2071.83764648438,48,59,54,36.6588810163279,-0.832718944331308,301
2092.9384765625,47,55,41,36.683880802414,-0.832718944331308,262
2116.00805664062,56,52,48,36.6942973799499,-0.832718944331308,185
2126.19873046875,46,52,76,36.7317970590791,-0.832718944331308,192
2100.83544921875,47,50,77,36.7401303211078,-0.832718944331308,202
2063.90966796875,57,51,97,36.7463802676294,-0.832718944331308,214
2063.90966796875,57,51,97,36.7484635831365,-0.832718944331308,206
2041.45959472656,58,51,97,36.7547135296581,-0.832718944331308,201
2018.6396484375,55,51,78,36.7692967382083,-0.832718944331308,232
1964.88330078125,34,60,25,36.6109647596628,-0.834802298367782,358
2047.7099609375,49,59,78,36.6380478612561,-0.834802298367782,264
2047.7099609375,49,59,78,36.6422144922704,-0.834802298367782,260
2072.53271484375,48,59,36,36.660964331835,-0.834802298367782,269
2105.03149414062,47,55,59,36.6922140644427,-0.834802298367782,199
2129.01025390625,57,50,62,36.7109639040073,-0.834802298367782,170
2129.01025390625,57,50,62,36.7172138505289,-0.834802298367782,183
2041.45959472656,58,51,97,36.7526302141509,-0.834802298367782,213
2033.43603515625,55,50,73,36.7609634761796,-0.834802298367782,215
1987.56970214844,37,60,73,36.6213813371987,-0.836885652404256,337
2047.7099609375,49,59,78,36.6422144922704,-0.836885652404256,250
2064.61694335938,53,60,13,36.6463811232848,-0.836885652404256,250
2071.83764648438,48,59,54,36.6547143853135,-0.836885652404256,222
2071.83764648438,48,59,54,36.6567977008207,-0.836885652404256,234
2072.53271484375,48,59,36,36.6651309628494,-0.836885652404256,279
2072.53271484375,48,59,36,36.6672142783566,-0.836885652404256,285
2092.9384765625,47,55,41,36.6776308558925,-0.836885652404256,258
2116.00805664062,56,52,48,36.7005473264714,-0.836885652404256,174
2129.01025390625,57,50,62,36.7130472195145,-0.836885652404256,172
2131.68212890625,52,51,61,36.7234637970504,-0.836885652404256,185
2126.19873046875,46,52,76,36.7297137435719,-0.836885652404256,208
2100.83544921875,47,50,77,36.7401303211078,-0.836885652404256,213
2041.45959472656,58,51,97,36.7567968451653,-0.836885652404256,245
2033.43603515625,55,50,73,36.7630467916868,-0.836885652404256,186
1891.29431152344,26,61,11,36.5922149200982,-0.838969006440731,444
2047.7099609375,49,59,78,36.6380478612561,-0.838969006440731,274
2079.41479492188,44,57,29,36.6713809093709,-0.838969006440731,268
2079.41479492188,44,57,29,36.6755475403853,-0.838969006440731,257
2105.03149414062,47,55,59,36.6922140644427,-0.838969006440731,222
2124.4130859375,55,52,69,36.7026306419786,-0.838969006440731,167
2100.83544921875,47,50,77,36.7401303211078,-0.838969006440731,211
2033.43603515625,55,50,73,36.765130107194,-0.838969006440731,177
2079.369140625,51,57,62,36.6588810163279,-0.841052360477205,228
2080.0048828125,53,56,78,36.660964331835,-0.841052360477205,241
2084.90234375,51,57,52,36.6692975938638,-0.841052360477205,252
2084.90234375,51,57,52,36.6734642248781,-0.841052360477205,243
2109.66552734375,53,54,59,36.6963806954571,-0.841052360477205,193
2114.8857421875,51,53,54,36.7088805885002,-0.841052360477205,182
2136.14331054688,38,51,77,36.7276304280648,-0.841052360477205,199
2130.3193359375,42,50,82,36.742213636615,-0.841052360477205,203
2104.638671875,49,50,92,36.7567968451653,-0.841052360477205,185
2063.87036132812,56,52,83,36.7734633692227,-0.841052360477205,200
1979.03381347656,32,61,15,36.6109647596628,-0.843135714513679,362
2084.90234375,51,57,52,36.6755475403853,-0.843135714513679,236
2102.93237304688,45,54,58,36.6859641179212,-0.843135714513679,238
2114.8857421875,51,53,54,36.7026306419786,-0.843135714513679,192
2121.0693359375,41,53,56,36.7151305350217,-0.843135714513679,163
2130.3193359375,42,50,82,36.7401303211078,-0.843135714513679,218
2104.638671875,49,50,92,36.7588801606724,-0.843135714513679,183
1944.17224121094,30,60,18,36.5942982356053,-0.845219068550153,410
2102.93237304688,45,54,58,36.6901307489355,-0.845219068550153,223
2121.0693359375,41,53,56,36.7151305350217,-0.845219068550153,175
2130.63623046875,44,53,71,36.719297166036,-0.845219068550153,165
1998.94555664062,41,60,14,36.6234646527058,-0.847302422586627,351
2070.3740234375,53,56,82,36.648464438792,-0.847302422586627,230
2094.85888671875,53,56,25,36.6797141713997,-0.847302422586627,234
2130.63623046875,44,53,71,36.7234637970504,-0.847302422586627,175
2118.5380859375,45,50,97,36.7484635831365,-0.847302422586627,208
1947.47521972656,60,52,30,36.7963798398016,-0.847302422586627,229
1937.94421386719,29,61,26,36.5942982356053,-0.849385776623102,421
2003.36584472656,34,60,14,36.6192980216915,-0.849385776623102,362
2027.87219238281,48,59,18,36.6297145992274,-0.849385776623102,310
2075.47680664062,53,57,60,36.6505477542992,-0.849385776623102,224
2094.953125,59,57,69,36.6797141713997,-0.849385776623102,237
2112.49682617188,46,50,70,36.7463802676294,-0.849385776623102,207
2111.58447265625,50,50,97,36.7547135296581,-0.849385776623102,187
2104.72241210938,50,51,96,36.7630467916868,-0.849385776623102,166
2089.142578125,51,52,84,36.7734633692227,-0.849385776623102,168
2018.62670898438,55,50,42,36.7880465777729,-0.849385776623102,181
1975.24304199219,57,52,32,36.800546470816,-0.849385776623102,211
2027.87219238281,48,59,18,36.6297145992274,-0.851469130659576,374
2027.87219238281,48,59,18,36.6317979147345,-0.851469130659576,310
2054.7119140625,53,60,48,36.6401311767633,-0.851469130659576,247
2104.17456054688,55,55,62,36.6963806954571,-0.851469130659576,220
2114.3662109375,47,53,60,36.7130472195145,-0.851469130659576,216
2119.16674804688,50,50,81,36.7380470056006,-0.851469130659576,207
1943.38317871094,47,53,53,36.8026297863232,-0.851469130659576,248
1964.08178710938,32,63,9,36.6088814441556,-0.85355248469605,389
2094.953125,59,57,69,36.6797141713997,-0.85355248469605,252
2100.5595703125,53,55,54,36.6922140644427,-0.85355248469605,238
2127.67626953125,40,50,68,36.7276304280648,-0.85355248469605,233
2119.16674804688,50,50,81,36.742213636615,-0.85355248469605,207
2112.49682617188,46,50,70,36.7505468986437,-0.85355248469605,207
2111.58447265625,50,50,97,36.7526302141509,-0.85355248469605,205
2104.72241210938,50,51,96,36.765130107194,-0.85355248469605,166
2060.93896484375,54,54,38,36.7797133157442,-0.85355248469605,160
2060.93896484375,54,54,38,36.7817966312514,-0.85355248469605,167
1975.24304199219,57,52,32,36.7963798398016,-0.85355248469605,217
1975.24304199219,57,52,32,36.800546470816,-0.85355248469605,231
1937.94421386719,29,61,26,36.5984648666197,-0.855635838732524,397
2003.36584472656,34,60,14,36.6192980216915,-0.855635838732524,359
2075.47680664062,53,57,60,36.6442978077776,-0.855635838732524,257
2100.5595703125,53,55,54,36.6901307489355,-0.855635838732524,216
2107.34692382812,50,54,54,36.706797272993,-0.855635838732524,197
2114.3662109375,47,53,60,36.7130472195145,-0.855635838732524,202
2089.142578125,51,52,84,36.7692967382083,-0.855635838732524,161
2060.93896484375,54,54,38,36.7838799467586,-0.855635838732524,169
1943.38317871094,47,53,53,36.8067964173375,-0.855635838732524,270
2089.19360351562,59,58,30,36.6588810163279,-0.857719192768998,240
2100.49780273438,60,58,45,36.6817974869068,-0.857719192768998,214
2100.49780273438,60,58,45,36.683880802414,-0.857719192768998,236
2100.205078125,48,54,70,36.6942973799499,-0.857719192768998,228
2100.205078125,48,54,70,36.6963806954571,-0.857719192768998,230
2119.40502929688,44,52,67,36.7213804815432,-0.857719192768998,177
2091.12768554688,48,49,95,36.7672134227011,-0.857719192768998,179
2081.23168945312,54,52,92,36.7713800537155,-0.857719192768998,176
2006.13330078125,41,55,31,36.7942965242945,-0.857719192768998,227
1970.90258789062,48,52,28,36.8026297863232,-0.857719192768998,214
2085.55395507812,61,57,57,36.6442978077776,-0.859802546805473,283
2085.55395507812,61,57,57,36.6463811232848,-0.859802546805473,250
2085.55395507812,61,57,57,36.6505477542992,-0.859802546805473,222
2089.19360351562,59,58,30,36.6526310698063,-0.859802546805473,199
2094.78247070312,47,60,49,36.6734642248781,-0.859802546805473,229
2094.78247070312,47,60,49,36.6755475403853,-0.859802546805473,245
2108.33422851562,44,51,81,36.7359636900935,-0.859802546805473,174
2091.12768554688,48,49,95,36.7672134227011,-0.859802546805473,180
1981.3095703125,34,61,16,36.6172147061843,-0.861885900841947,397
2085.55395507812,61,57,57,36.6505477542992,-0.861885900841947,241
2094.78247070312,47,60,49,36.6713809093709,-0.861885900841947,209
2100.32641601562,57,54,67,36.6922140644427,-0.861885900841947,195
2112.19458007812,48,52,46,36.7172138505289,-0.861885900841947,179
2118.99145507812,40,50,65,36.7317970590791,-0.861885900841947,227
2108.33422851562,44,51,81,36.7380470056006,-0.861885900841947,173
2108.33422851562,44,51,81,36.7401303211078,-0.861885900841947,177
2098.53588867188,47,51,84,36.7463802676294,-0.861885900841947,195
2098.53588867188,47,51,84,36.7505468986437,-0.861885900841947,193
2091.12768554688,48,49,95,36.765130107194,-0.861885900841947,181
2064.24975585938,46,54,92,36.7838799467586,-0.861885900841947,204
1929.61926269531,31,63,8,36.6005481821269,-0.863969254878421,394
1959.24963378906,32,62,10,36.6026314976341,-0.863969254878421,393
2028.81494140625,48,60,29,36.6276312837202,-0.863969254878421,397
2028.81494140625,48,60,29,36.6317979147345,-0.863969254878421,332
2089.19360351562,59,58,30,36.6526310698063,-0.863969254878421,246
2089.19360351562,59,58,30,36.6547143853135,-0.863969254878421,242
2088.62646484375,61,60,78,36.660964331835,-0.863969254878421,215
2100.205078125,48,54,70,36.6942973799499,-0.863969254878421,204
2104.12817382812,43,53,49,36.7026306419786,-0.863969254878421,191
2108.33422851562,44,51,81,36.7401303211078,-0.863969254878421,176
2098.53588867188,47,51,84,36.7442969521222,-0.863969254878421,205
2098.53588867188,47,51,84,36.7463802676294,-0.863969254878421,197
2037.73022460938,52,51,50,36.7901298932801,-0.863969254878421,197
1970.90258789062,48,52,28,36.8067964173375,-0.863969254878421,242
1937.822265625,42,53,44,36.823462941395,-0.863969254878421,343
1975.76538085938,37,59,34,36.6130480751699,-0.866052608914895,364
1989.83898925781,39,59,24,36.625547968213,-0.866052608914895,439
2101.17456054688,55,55,82,36.6651309628494,-0.866052608914895,199
2098.93969726562,56,55,71,36.6880474334284,-0.866052608914895,200
2107.869140625,39,50,64,36.7130472195145,-0.866052608914895,196
2115.36840820312,39,51,59,36.7234637970504,-0.866052608914895,180
2115.36840820312,39,51,59,36.7255471125576,-0.866052608914895,177
2067.50463867188,46,51,93,36.7692967382083,-0.866052608914895,196
2012.18286132812,45,52,55,36.7963798398016,-0.866052608914895,219
