"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","temp_annual_range","terrain_slope","tree_cover","wet_index","X","Y","k"
1618.56066894531,0,0,3913,140,57,0,17.5462207794189,14,39,75,34.5880699526246,1.13603505185357,402
1573.68542480469,20,22,3841,139,57,34,17.4913291931152,23,54,74,34.5859866192946,1.13395171852357,404
1469.51123046875,0,0,3714,153,57,0,17.539363861084,18,53,78,34.5797366193046,1.13186838519357,407
1691.86999511719,20,21,3984,121,57,34,17.4548072814941,20,55,69,34.5964032859446,1.12770171853357,409
1810.88464355469,19,21,3912,130,56,33,17.3739757537842,14,56,71,34.6026532859346,1.11728505188357,443
1672.49523925781,18,22,4053,138,57,34,17.3639030456543,8,36,68,34.5901532859546,1.11311838522357,429
1672.49523925781,18,22,4053,138,57,34,17.3639030456543,8,36,68,34.5880699526246,1.11103505189357,416
1672.49523925781,18,22,4053,138,57,34,17.3639030456543,8,36,68,34.5922366192846,1.11103505189357,426
1810.88464355469,19,21,3912,130,56,33,17.3739757537842,14,56,71,34.6047366192646,1.11103505189357,441
1801.77294921875,18,22,4015,126,56,34,17.3401031494141,21,47,67,34.5943199526146,1.10895171856357,448
1694.96801757812,18,22,4166,115,60,33,17.3265647888184,14,15,83,34.5818199526346,1.10478505190357,392
1847.59399414062,18,22,3753,92,62,33,17.4790077209473,18,38,73,34.6109866192546,1.10478505190357,362
1711.05322265625,18,22,4175,63,60,34,17.2615146636963,14,24,72,34.5422366193646,1.10270171857357,470
1691.73388671875,0,0,4167,67,60,0,17.2793617248535,18,27,75,34.5484866193546,1.10270171857357,465
1647.03857421875,19,21,4046,65,59,33,17.267635345459,18,17,75,34.5359866193746,1.10061838524357,435
1742.11865234375,18,22,4129,59,59,34,17.2752590179443,19,20,69,34.5630699526646,1.10061838524357,445
1647.03857421875,19,21,4046,65,59,33,17.267635345459,18,17,75,34.5401532860346,1.09853505191357,458
1700.4482421875,18,21,4159,66,60,34,17.2602291107178,16,19,72,34.5505699526846,1.09853505191357,498
1755.97473144531,17,22,4219,86,60,34,17.2879867553711,18,15,69,34.5734866193146,1.09853505191357,388
1883.62915039062,20,20,3608,106,61,32,17.5583324432373,16,37,75,34.6234866192346,1.09853505191357,380
1588.50354003906,20,21,4052,90,60,33,17.2910499572754,28,20,74,34.5339032860446,1.09645171858357,469
1755.97473144531,17,22,4219,86,60,34,17.2879867553711,18,15,69,34.5693199526546,1.09645171858357,462
1823.12109375,18,21,3888,105,61,33,17.3570079803467,24,26,70,34.5943199526146,1.09645171858357,425
1862.29565429688,19,21,3743,79,62,33,17.5114059448242,11,21,72,34.6109866192546,1.09645171858357,463
1527.48132324219,20,21,3904,64,61,33,17.2812576293945,14,14,74,34.5255699527246,1.09436838525357,477
1777.20642089844,17,22,4090,64,60,34,17.2961101531982,19,21,66,34.5776532859746,1.09436838525357,431
1883.62915039062,20,20,3608,106,61,32,17.5583324432373,16,37,75,34.6214032859046,1.09436838525357,401
1459.88598632812,23,20,3921,61,59,32,17.3468589782715,16,8,78,34.5193199527346,1.09228505192357,494
1459.88598632812,23,20,3921,61,59,32,17.3468589782715,16,8,78,34.5234866193946,1.09228505192357,487
1506.11853027344,22,20,3986,50,59,32,17.3125877380371,21,17,72,34.5276532860546,1.09228505192357,476
1762.15881347656,19,22,3992,52,60,33,17.2794914245605,11,15,70,34.5672366193246,1.09228505192357,453
1823.7626953125,18,22,3874,66,60,33,17.3548336029053,27,18,71,34.5859866192946,1.09228505192357,450
1807.57116699219,19,21,4043,58,61,33,17.3042984008789,27,14,69,34.5776532859746,1.09020171859357,444
1762.15881347656,19,22,3992,52,60,33,17.2794914245605,11,15,70,34.5630699526646,1.08811838526357,497
1900.50012207031,20,20,3526,93,62,32,17.5655117034912,23,27,72,34.6214032859046,1.08811838526357,402
1900.50012207031,20,20,3526,93,62,32,17.5655117034912,23,27,72,34.6234866192346,1.08811838526357,402
1929.56970214844,24,19,3247,41,61,33,17.601261138916,11,29,79,34.6380699525446,1.08811838526357,344
1944.63024902344,24,19,3207,26,63,33,17.6102294921875,13,21,80,34.6484866191946,1.08603505193357,341
1493.02905273438,24,20,3810,48,61,32,17.3714122772217,20,13,74,34.5339032860446,1.08395171860357,471
1840.54992675781,20,21,3849,57,62,34,17.4240283966064,17,14,72,34.5901532859546,1.08395171860357,432
1876.66638183594,21,21,3643,85,62,34,17.5264072418213,14,16,75,34.6047366192646,1.08395171860357,376
1897.45483398438,21,21,3610,85,62,34,17.5518398284912,15,18,73,34.6130699525846,1.08395171860357,428
1933.00756835938,22,19,3318,52,62,33,17.5900192260742,12,29,74,34.6297366192246,1.08395171860357,387
1542.18395996094,24,20,3923,56,60,33,17.3626956939697,12,17,76,34.5401532860346,1.07978505194357,511
1755.00268554688,22,21,3908,56,61,34,17.329948425293,15,7,72,34.5672366193246,1.07978505194357,479
1858.05004882812,21,21,3757,73,63,34,17.4846000671387,12,11,75,34.5943199526146,1.07978505194357,407
1897.45483398438,21,21,3610,85,62,34,17.5518398284912,15,18,73,34.6130699525846,1.07978505194357,446
1918.00048828125,20,20,3479,59,62,34,17.5715103149414,22,19,69,34.6214032859046,1.07978505194357,446
1933.00756835938,22,19,3318,52,62,33,17.5900192260742,12,29,74,34.6297366192246,1.07978505194357,358
1696.84851074219,22,21,3966,55,60,33,17.31471824646,12,18,70,34.5568199526746,1.07770171861357,510
1818.31213378906,20,21,3898,49,60,33,17.3579502105713,10,15,69,34.5797366193046,1.07770171861357,422
1933.00756835938,22,19,3318,52,62,33,17.5900192260742,12,29,74,34.6339032858846,1.07770171861357,357
1953.70971679688,25,18,3207,32,64,34,17.6070289611816,15,18,79,34.6401532858746,1.07561838528357,356
1824.34265136719,22,20,3755,52,62,34,17.4402656555176,23,18,71,34.5839032859646,1.06936838529357,478
1856.85266113281,21,20,3784,49,62,35,17.4677352905273,11,17,69,34.5922366192846,1.06936838529357,447
1933.83276367188,23,20,3423,47,63,35,17.5767440795898,11,11,75,34.6214032859046,1.06936838529357,431
1933.83276367188,23,20,3423,47,63,35,17.5767440795898,11,11,75,34.6234866192346,1.06936838529357,434
1547.46618652344,25,19,3648,56,60,33,17.4966640472412,10,8,78,34.5339032860446,1.06728505196357,621
1825.16333007812,25,20,3581,69,63,33,17.5172367095947,20,15,76,34.5818199526346,1.06728505196357,525
1972.39343261719,26,18,3156,19,63,35,17.6160430908203,10,47,83,34.6505699525246,1.06728505196357,366
1895.88781738281,22,20,3600,60,64,35,17.5419883728027,15,15,71,34.5984866192746,1.06520171863357,460
1931.14611816406,25,19,3434,49,63,34,17.5684585571289,9,24,77,34.6130699525846,1.06520171863357,453
1931.14611816406,25,19,3434,49,63,34,17.5684585571289,9,24,77,34.6151532859146,1.06520171863357,449
1931.14611816406,25,19,3434,49,63,34,17.5684585571289,9,24,77,34.6172366192446,1.06520171863357,438
1945.65258789062,25,19,3382,39,64,34,17.5804538726807,6,30,78,34.6255699525646,1.06520171863357,426
1461.93566894531,22,21,3551,56,63,35,17.4944972991943,20,29,82,34.5047366194246,1.06311838530357,534
1914.88854980469,24,20,3489,58,63,35,17.5564060211182,11,19,75,34.6068199525946,1.06311838530357,448
1972.39343261719,26,18,3156,19,63,35,17.6160430908203,10,47,83,34.6443199525346,1.06311838530357,394
1547.46618652344,25,19,3648,56,60,33,17.4966640472412,10,8,78,34.5297366193846,1.06103505197357,523
1931.14611816406,25,19,3434,49,63,34,17.5684585571289,9,24,77,34.6130699525846,1.06103505197357,461
1563.05151367188,24,20,3528,58,62,34,17.5007190704346,15,13,81,34.5193199527346,1.05895171864357,507
1969.16662597656,27,18,3319,34,64,35,17.6036605834961,16,39,92,34.6401532858746,1.05895171864357,428
1813.1552734375,25,20,3563,59,63,34,17.5295085906982,21,16,75,34.5734866193146,1.05686838531357,561
1905.24755859375,23,19,3440,39,63,34,17.5503807067871,10,19,75,34.5964032859446,1.05686838531357,528
1926.75854492188,25,19,3440,36,63,34,17.5604686737061,9,18,76,34.6068199525946,1.05478505198357,491
1952.97814941406,25,18,3332,33,64,34,17.5815906524658,4,21,79,34.6214032859046,1.05478505198357,426
1969.16662597656,27,18,3319,34,64,35,17.6036605834961,16,39,92,34.6359866192146,1.05270171865356,433
1967.29711914062,26,18,3266,27,61,35,17.5912933349609,8,21,83,34.6339032858846,1.05061838532356,425
1542.2734375,20,20,3530,61,62,35,17.4916172027588,22,22,78,34.5068199527546,1.04853505199356,473
1845.04528808594,25,19,3525,50,64,33,17.532169342041,15,17,76,34.5755699526446,1.04853505199356,520
2006.69995117188,29,17,3203,31,61,33,17.6173419952393,5,20,86,34.6568199525146,1.04853505199356,361
1906.06396484375,26,18,3449,23,63,33,17.5555000305176,3,19,82,34.5943199526146,1.04645171866356,472
1906.06396484375,26,18,3449,23,63,33,17.5555000305176,3,19,82,34.5984866192746,1.04645171866356,536
1540.15698242188,19,20,3246,32,58,35,17.486665725708,23,46,79,34.5005699527646,1.04436838533356,481
1930.95104980469,25,18,3382,29,63,34,17.5636043548584,6,17,79,34.6047366192646,1.04436838533356,488
1991.39196777344,28,18,3255,30,62,34,17.609037399292,6,21,91,34.6464032858646,1.04436838533356,399
2006.69995117188,29,17,3203,31,61,33,17.6173419952393,5,20,86,34.6526532858546,1.04436838533356,397
1569.47814941406,23,20,3284,39,60,34,17.4965724945068,27,33,77,34.5130699527446,1.04228505200356,532
1870.2607421875,25,18,3332,34,64,33,17.5517864227295,15,27,83,34.5922366192846,1.04228505200356,519
1898.81262207031,25,18,3322,32,62,34,17.5576438903809,7,32,85,34.5984866192746,1.04228505200356,483
1926.04455566406,25,18,3342,32,61,34,17.565034866333,9,28,82,34.6047366192646,1.04228505200356,490
1988.15771484375,28,18,3207,30,61,34,17.598237991333,12,45,85,34.6401532858746,1.04228505200356,380
1946.22448730469,25,18,3395,23,62,34,17.5722904205322,10,28,81,34.6172366192446,1.04020171867356,398
1926.04455566406,25,18,3342,32,61,34,17.565034866333,9,28,82,34.6089032859246,1.03811838534356,389
1974.73278808594,27,18,3288,28,63,34,17.5900382995605,13,31,85,34.6276532858946,1.03811838534356,410
2004.01806640625,29,18,3176,26,61,33,17.606632232666,8,55,85,34.6464032858646,1.03811838534356,361
1594.21118164062,22,19,3402,40,62,36,17.501501083374,16,16,82,34.5193199527346,1.03603505201356,514
1898.81262207031,25,18,3322,32,62,34,17.5576438903809,7,32,85,34.5964032859446,1.03603505201356,441
2033.53869628906,28,18,3096,29,60,31,17.6153354644775,19,50,79,34.6651532858346,1.03603505201356,348
1606.29736328125,23,19,3372,23,63,35,17.5183067321777,4,16,85,34.5484866193546,1.03395171868356,504
1887.54431152344,24,18,3316,34,62,34,17.5597763061523,15,19,87,34.5984866192746,1.03395171868356,432
1910.67175292969,26,18,3221,29,62,34,17.5671291351318,10,52,84,34.6089032859246,1.03395171868356,406
1538.23474121094,22,20,3186,29,58,34,17.4968223571777,25,29,78,34.5151532860746,1.03186838535356,495
1539.32336425781,22,20,3192,35,59,36,17.4860076904297,25,96,81,34.4984866194346,1.02978505202356,438
1538.23474121094,22,20,3186,29,58,34,17.4968223571777,25,29,78,34.5172366194046,1.02978505202356,493
1606.29736328125,23,19,3372,23,63,35,17.5183067321777,4,16,85,34.5484866193546,1.02978505202356,463
1606.29736328125,23,19,3372,23,63,35,17.5183067321777,4,16,85,34.5505699526846,1.02978505202356,480
2032.02209472656,28,17,3025,35,57,31,17.6110553741455,11,58,85,34.6547366191846,1.02978505202356,366
1539.32336425781,22,20,3192,35,59,36,17.4860076904297,25,96,81,34.4984866194346,1.02770171869356,427
1981.72424316406,26,18,3274,25,60,34,17.5882091522217,6,17,83,34.6297366192246,1.02770171869356,370
2032.02209472656,28,17,3025,35,57,31,17.6110553741455,11,58,85,34.6589032858446,1.02770171869356,344
1649.17614746094,23,19,3368,28,64,36,17.5155181884766,8,15,92,34.5443199526946,1.02561838536356,468
