"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","terrain_slope","wet_index","X","Y","mg"
1482.25061035156,0,0,3857,143,58,0,21,74,34.5839032859646,1.12561838520357,334
1595.80456542969,18,22,3974,150,58,34,15,71,34.5859866192946,1.12353505187357,323
1723.92431640625,19,22,4031,126,60,33,13,72,34.5984866192746,1.11936838521357,308
1766.00549316406,19,22,4040,142,58,33,20,70,34.5964032859446,1.11728505188357,302
1672.49523925781,18,22,4053,138,57,34,8,68,34.5859866192946,1.11520171855357,341
1672.49523925781,18,22,4053,138,57,34,8,68,34.5922366192846,1.11520171855357,352
1827.03039550781,18,22,3878,118,58,33,11,70,34.6026532859346,1.10895171856357,312
1711.05322265625,18,22,4175,63,60,34,14,72,34.5359866193746,1.10478505190357,421
1801.77294921875,18,22,4015,126,56,34,21,67,34.6005699526046,1.10478505190357,345
1694.96801757812,18,22,4166,115,60,33,14,83,34.5797366193046,1.10270171857357,376
1827.03039550781,18,22,3878,118,58,33,11,70,34.6068199525946,1.10270171857357,389
1588.50354003906,20,21,4052,90,60,33,28,74,34.5318199527146,1.10061838524357,473
1742.11865234375,18,22,4129,59,59,34,19,69,34.5630699526646,1.10061838524357,400
1777.20642089844,17,22,4090,64,60,34,19,66,34.5839032859646,1.10061838524357,430
1862.29565429688,19,21,3743,79,62,33,11,72,34.6109866192546,1.10061838524357,341
1647.03857421875,19,21,4046,65,59,33,18,75,34.5359866193746,1.09853505191357,490
1727.96252441406,18,22,4136,55,59,34,19,70,34.5547366193446,1.09853505191357,449
1841.92468261719,19,21,3899,72,63,33,20,70,34.6089032859246,1.09853505191357,418
1527.48132324219,20,21,3904,64,61,33,14,74,34.5234866193946,1.09645171858357,479
1647.03857421875,19,21,4046,65,59,33,18,75,34.5422366193646,1.09645171858357,507
1742.11865234375,18,22,4129,59,59,34,19,69,34.5651532859946,1.09645171858357,401
1742.11865234375,18,22,4129,59,59,34,19,69,34.5672366193246,1.09645171858357,421
1903.0771484375,22,20,3536,76,62,32,24,73,34.6276532858946,1.09436838525357,478
1879.00378417969,19,21,3752,72,63,33,21,71,34.6172366192446,1.09228505192357,482
1807.57116699219,19,21,4043,58,61,33,27,69,34.5797366193046,1.09020171859357,416
1823.7626953125,18,22,3874,66,60,33,27,71,34.5880699526246,1.09020171859357,445
1823.7626953125,18,22,3874,66,60,33,27,71,34.5922366192846,1.09020171859357,484
1917.8447265625,22,20,3406,63,59,32,23,74,34.6276532858946,1.09020171859357,409
1929.56970214844,24,19,3247,41,61,33,11,79,34.6401532858746,1.09020171859357,362
1459.88598632812,23,20,3921,61,59,32,16,78,34.5234866193946,1.08811838526357,496
1459.88598632812,23,20,3921,61,59,32,16,78,34.5255699527246,1.08811838526357,508
1823.7626953125,18,22,3874,66,60,33,27,71,34.5880699526246,1.08811838526357,436
1839.5947265625,19,22,3833,81,62,33,14,73,34.6005699526046,1.08811838526357,448
1858.16357421875,20,22,3786,65,63,33,12,73,34.6047366192646,1.08811838526357,454
1879.00378417969,19,21,3752,72,63,33,21,71,34.6109866192546,1.08811838526357,392
1879.00378417969,19,21,3752,72,63,33,21,71,34.6151532859146,1.08811838526357,406
1807.57116699219,19,21,4043,58,61,33,27,69,34.5839032859646,1.08603505193357,483
1839.5947265625,19,22,3833,81,62,33,14,73,34.5964032859446,1.08603505193357,459
