"Vegetable","Calcium","Magnesium","Potassium","Sodium"
"Amaranth, leaves, picked, raw",280,122,597,18
"Amaranth, leaves, picked, boiled, drained (without salt)",280,77,314,14
"Amaranth, leaves, picked, stewed (without salt)",346,151,737,22
"Bitter gourd, whole, different varieties, raw",22,20,210,16
"Bitter gourd, whole, different varieties, boiled, drained (without salt)",23,13,117,14
"Black (African) nightshade, indigenous, leaves, picked, raw",100,41,421,10
"Black (African) nightshade, indigenous, leaves, picked, boiled, drained (without salt)",91,24,200,7
"Broccoli, tops and stems, raw",66,21,336,22
"Black (African) nightshade, indigenous, leaves, picked, steamed",82.997,32.283,311.174,7.391
"Broccoli, tops and stems, boiled, drained (without salt)",56,11,151,15
"Broccoli, tops and stems, steamed (without salt)",60,18,275,18
"Cabbage, leaf head, Chinese, raw",36,10,250,16
"Cabbage, leaf head, Chinese, boiled, drained (without salt)",35,6,128,12
"Cabbage, leaf head, Chinese, steamed (without salt)",35,9,217,14
"Cabbage, leaf head, red raw",45,29,241,16
"Cabbage, leaf head, red, boiled, drained (without salt)",44,18,123,12
"Cabbage, leaf head, red, stewed (without salt)",42,27,223,15
"Cabbage, leaf head, white, raw",47,9,313,37
"Cabbage, leaf head, white, boiled, drained (without salt)",45,6,159,29
"Cabbage, leaf head, white, stewed (without salt)",50,10,336,40
"Capsicum (sweet peper), green, raw",8,10,151,2
"Capsicum (sweet peper), green, boiled, drained (without salt)",9,7,87,2
"Capsicum (sweet peper), green, grilled (without salt and fat)",9,11,162,2
"Capsicum (sweet peper), green, baked (without salt)",8,10,157,2
"Capsicum (sweet peper), red, raw",4,6,174,2
"Capsicum (sweet peper), red, boiled, drained (without salt)",4,4,100,2
"Capsicum (sweet peper), red, grilled (without salt and fat)",4,6,187,2
"Capsicum (sweet peper), red, baked (without salt)",4,6,181,2
"Capsicum (sweet peper), yellow, raw",19,17,242,2
"Capsicum (sweet peper), yellow, boiled, drained (without salt)",21,12,139,1
"Capsicum (sweet peper), yellow, grilled (without salt and fat)",21,19,260,2
"Capsicum (sweet peper), yellow, baked (without salt)",20,18,252,2
"Carrot, peeled, raw",33,17,251,35
"Carrot, peeled, boiled, drained (without salt)",34,11,120,21
"Carrot, peeled, stewed (without salt)",35,17,261,37
"Cauliflower, tops and stems, raw",17,11,292,30
"Cauliflower, tops and stems, boiled, drained (without salt)",16,6,146,23
"Celery, stalk, raw",70,19,267,28
"Celery, stalk, boiled, drained (without salt)",74,13,148,23
"Courgette, green, unpeeled, raw",18,16,188,1
"Courgette, green, unpeeled, boiled, drained (without salt)",19,11,104,1
"Cowpea, leaves, picked, raw",188,47,485,31
"Cowpea, leaves, picked, boiled, drained (without salt)",170,27,231,22
"Cowpea, leaves, picked, steamed (without salt)",155,37,358,23
"Cucumber, green, unpeeled, raw",20,14,136,22
"Eggplant / Brinjal, different varieties, whole edible, raw",18,21,200,3
"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",19,14,108,2
"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",23,26,250,4
"Jute mallow, picked leaves, raw",207,30,283,18
"Jute mallow, picked leaves, boiled, drained (without salt)",207,19,149,14
"Jute mallow, picked leaves, stewed (without salt)",255,37,349,23
"Kale, Ethiopian (kanzera), leaves, raw",117,54,639,7
"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",105,31,304,5
"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",96,42,472,5
"Kale (sukuma wiki) raw",402,41,238,71
"Kale (sukuma wiki), boiled, drained (without salt)",364,23,113,51
"Kale (sukuma wiki), steamed (without salt)",332,32,176,53
"Leeks, bulb and stem, raw",78,14,202,17
"Leeks, bulb and stem, boiled, drained (without salt)",90,10,110,11
"Lettuce, not further defined, raw",47,24,201,20
"Mushroom, fresh, raw",16,15,318,8
"Mushroom, fresh, boiled, drained (without salt)",21,12,218,8
"Mushroom, fresh, stewed (without salt)",20,19,393,10
"Mushroom, dried, raw",24,136,326,5
"Mushroom, dried, boiled, drained (without salt)",14,47,93,3
"Mushroom, raw, canned in brine (drained)",4,4,24,300
"Okra, fresh, raw",81,57,303,8
"Okra, fresh, boiled, drained (without salt)",70,31,138,5
"Okra, fresh, stewed (without salt)",84,56,280,7
"Pumpkin, flesh, yellow w/o seeds, raw",17,12,178,14
"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",18,8,97,11
"Pumpkin, leaves, raw",383,142,423,12
"Pumpkin, leaves, boiled, drained (without salt)",347,81,201,9
"Pumpkin, leaves, steamed (without salt)",316,111,313,9
"Spider plant, leaves, raw",189,48,478,19
"Spider plant, leaves, boiled, drained (without salt)",171,27,228,13
"Spider plant, leaves, steamed (without salt)",156,37,353,14
"Spinach, leaves, raw",131,72,570,59
"Spinach, leaves, boiled, drained (without salt)",131,45,300,46
"Spinach, leaves, stewed (without salt)",161,89,704,72
"Spinach, Swiss chard, leaves, raw",117,78,348,892
"Spinach, Swiss chard, leaves, boiled, drained (without salt)",117,49,183,704
"Spinach, Swiss chard, leaves, stewed (without salt)",144,96,430,1101
"Squash, butternut, peeled, flesh, raw",18,16,332,7.7
"Squash, butternut, peeled, flesh, boiled, drained (without salt)",19,11,186,7
"Squash, butternut, peeled, flesh, steamed (without salt)",19,16,317,7
"Squash, butternut, peeled, flesh, baked (without salt)",21,19,390,9
"Stinging nettle, leaves, raw",668,133,524,36
"Stinging nettle, leaves, boiled, drained (without salt)",604,76,250,26
"Stinging nettle, leaves, steamed (without salt)",552,104,387,27
"Sweet Potato (Leaves)",118,61,620,6
"Tomato, green, raw",8,14,225,13
"Tomato, green, boiled, drained (without salt)",10,10,144,13
"Tomato, red, ripe, raw",8,9.5,126,21
"Tomato, red, ripe, boiled, drained (without salt)",10,7,81,20
"Tomato, canned, whole contents",22,11,204,68
"Vine (African) spinach, picked leaves, raw",267,40,446,8
"Vine (African) spinach, picked leaves, boiled, drained (without salt)",267,25,234,6
